dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,activity,growth,symmetry,timepoint,seed_key,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,activity,growth,symmetry,timepoint,seed_key,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,activity,growth,symmetry,timepoint,seed_key
-0.8139757,-0.80254,-1.6364985,1.455421,0.5494597,0.6502074,0.53489447,2.6959612,0.088002086,1.8040824,-4.9395914,0.45088756,0.5869616,-0.042218804,0.102071226,-5.845008,-4.2747006,0.5947048,2.609296,3.9897733,2.467154,-1.4619712,3.1765978,-3.9064798,-2.5183506,4.1711974,-3.0924733,-0.59605557,1.2529734,2.5627522,-2.1195521,-3.0514705,1.0,0.8,0.9,4,CH_Lvav_28,-1.143713,5.12324,2.1728942,0.45536098,0.3847434,2.683517,-2.635312,1.7155182,-0.15540946,0.97345984,-3.7291949,-1.1006862,0.86761856,-0.9161494,-1.3217369,2.9923668,-1.9184234,1.8687704,2.9923933,3.8248086,-0.6072638,0.8753381,0.9902164,-0.95056075,0.980981,1.5959074,3.1426098,0.15743035,3.2370605,-1.1785188,2.3400922,-2.5294738,1.0,0.75396824,0.6666667,5.0,C_Sav_23,-2.1641726,7.151052,0.0398373,2.7651808,0.41275626,2.8658586,-2.8177738,2.1709304,-0.41560227,1.2670542,-0.6411123,-1.436572,2.578085,-1.0079318,0.64528275,2.4946508,-2.033366,3.6398332,5.1036534,2.658554,-0.64156723,0.4546994,0.4865613,-0.7810877,0.9561569,3.1079476,1.1003294,1.2894886,4.782639,-0.57912314,2.3115656,-3.1635368,0.0,0.0,0.0,0.0,CH_Sav_50
0.24066556,0.26185986,4.224799,1.4043685,0.37989682,9.080914,-3.6078372,0.8821758,-2.5466595,-1.063949,-5.3685727,3.9807615,-0.98731375,-0.7573117,2.0783756,-3.00663,-2.356265,-2.6485178,-4.052527,1.4209833,-1.0647982,-3.0582094,1.177943,1.6396775,3.8310752,2.5372524,2.2778788,-0.37821612,2.4811792,-4.263153,-1.7950642,-6.955721,1.0,1.2657343,0.7692308,7,CH_Lvav_28,-0.9022397,-0.09326884,-0.43099934,-0.4179974,1.1082304,-0.8045306,-3.6198363,2.0940673,0.6656521,-1.7958426,0.96747696,0.1876085,-0.21719345,0.73160946,-4.032139,0.6170236,0.71463394,-1.4602468,4.4252334,2.3778255,-2.0834742,-0.13316941,1.7197092,-2.8397932,-0.20485573,2.0256913,1.8364241,-0.6859836,-2.3329515,-0.34066832,-1.0651069,-0.3861524,0.94174755,1.247619,0.8230769,11.0,C_Sav_23,-0.5587963,-0.29577804,0.786966,-0.10214904,0.6403241,1.4109622,-2.027285,1.4513822,1.1016433,-0.84887445,0.32196715,1.2014098,1.0779299,2.899982,-4.362506,0.2641009,-0.06576872,0.014500514,5.2274127,0.9203808,-2.1778502,-0.86259305,0.24285416,-2.7832084,-0.9348779,3.3811083,1.1686947,-0.45178494,-1.4673649,-0.3482566,-0.7971424,-0.990956,1.0,1.4063617,0.7589744,12.0,CH_Sav_50
-0.78533036,-0.6216668,-3.4065106,1.5297649,-0.27397665,-1.0520456,-3.7876122,2.7466798,1.0240293,0.46505928,4.2116656,0.7643373,5.038305,1.7643082,1.5136422,-4.9747944,-6.2684965,-1.1079049,-0.47992176,0.83991355,-4.203001,2.4269323,1.3022536,1.2010736,-2.5625172,-1.267979,-1.3966136,3.4168553,-2.7217793,-2.0605652,0.6482246,-1.2898237,1.0,1.4417391,0.7372549,13,CH_Lvav_28,-2.620771,7.4262547,1.0422915,1.6209966,0.66188955,3.0179353,-2.0313532,3.5942154,-0.6271861,1.9082987,-3.5515444,-0.649319,1.4736861,-1.1924182,-1.0937016,3.376831,-2.6917336,1.783453,3.691228,4.160253,0.24518421,0.39164114,0.7711884,0.5251025,0.39652184,1.3759056,2.5639431,1.3426099,5.2591705,-1.1782163,3.0275037,-3.3391297,1.0,-0.6666667,0.7,2.0,C_Sav_23,-1.4461837,5.7052965,0.56276304,2.198585,-0.22727871,3.4823728,-2.4494915,0.9241687,0.18921709,0.59315085,-1.2466024,-1.8375777,1.4989952,-0.22612953,0.37692085,1.5985843,-1.9302123,3.5416174,5.368401,2.4437313,-1.2286235,0.22637075,0.5418217,-1.1355441,0.51309913,2.873962,0.9593036,0.3460632,3.7007775,-1.2588828,1.5650724,-2.6290636,1.0,0.0,1.0,1.0,CH_Sav_50
-1.7297915,9.216098,-2.7950542,1.7886988,-0.95551157,0.8199528,-1.4403983,-0.0005111098,2.5678473,3.3107786,1.8643103,-0.9211106,4.8293877,-4.3915,-2.1267948,-2.0009193,-2.9977307,1.0290754,5.353599,1.7186787,-1.6050483,0.6099773,-0.20558184,2.2195694,0.16126105,4.398528,2.0467634,4.2259564,3.2408252,-0.656459,1.4169654,-2.6889834,1.0,1.378741,0.7785714,10,CH_Lvav_28,-0.98472124,-0.25663525,-0.30415827,0.4907557,1.4089873,-0.946609,-3.5104184,2.5896187,0.6121632,-2.0547886,1.4176332,0.53724736,-0.47535983,0.88153046,-4.2336335,0.4475124,0.8189781,-1.8673551,4.455687,2.251019,-2.0642805,-0.750556,1.4218249,-2.8454263,-0.81597275,2.3302908,1.760895,-0.87654954,-2.7283058,0.07520819,-1.5728996,-0.2682402,0.81512606,1.2633164,0.8516129,12.0,C_Sav_23,-1.601239,3.8293693,0.9814039,0.42369208,-0.5373262,3.473856,-0.72477555,0.04457569,1.1983898,-0.23687771,-0.7322104,-0.22893485,0.4772607,1.0914735,-0.9886086,0.45759046,-2.346736,2.2257953,5.463834,1.7786539,-2.860601,0.06005287,1.1189839,-1.9756474,0.211404,2.9310758,1.2208042,0.22920626,2.72311,-1.0234299,1.1600845,-1.6946615,1.0,0.6,0.55,3.0,CH_Sav_50
1.4440663,2.4131844,-1.0447791,-2.4920146,-1.3375984,0.97052807,-4.290547,3.6209788,0.029575586,0.4609363,2.7028675,-1.0444808,2.6686149,0.5810797,3.2465425,1.1464857,-0.042241335,-2.1509275,1.1805604,-5.2499056,6.3641605,-0.011833191,-2.8887286,5.1878834,-6.156996,4.7528043,-2.7392542,2.2919579,-7.591925,-1.6498408,3.3911238,-3.1750765,1.0,1.3054945,0.6526316,8,CH_Lvav_28,-0.57296133,2.5941432,1.5579146,-1.1668593,0.13971572,1.411796,-2.9887772,-0.008795023,0.7081341,-0.4793449,-2.3832998,-1.0394009,1.0074532,-0.20256126,-1.9610481,2.114111,-1.5030375,1.1955392,3.019625,3.7966728,-1.7964654,1.3751688,1.4837089,-2.285908,1.550801,2.1072958,2.897958,-0.40949038,0.8419417,-0.38871366,1.8752973,-1.3785655,1.0,1.1575092,0.8,8.0,C_Sav_23,-0.9691064,2.4119556,0.92253256,-0.4451199,-0.4736555,3.1023622,-1.0895119,0.09070665,1.8433502,-0.55048347,-0.810434,0.31992948,0.6989617,1.3891933,-1.8537716,0.21249795,-1.9680691,1.7943003,4.913014,1.6097796,-3.0938993,0.3711844,0.9996111,-2.556944,-0.054076947,3.2563956,1.2958381,0.16961037,2.0547261,-1.2855331,1.1248125,-1.7072356,1.0,1.2161616,0.6,6.0,CH_Sav_50
0.9692888,-0.4038775,-0.24091983,1.2046212,0.9011663,0.29788864,1.7286215,3.6455646,-3.0658245,1.3353847,0.99042106,-1.8325295,0.53563946,1.7390819,-1.535852,-4.8257174,-3.9481363,5.269384,-2.0388079,-2.5022254,-1.9651729,2.1938858,0.8489952,2.4345293,-1.269662,-4.1646957,-3.358577,0.85246146,-3.3915858,-2.6100314,1.8600585,2.527339,1.0,1.4755555,0.78909093,14,CH_Lvav_28,-2.258262,6.663493,1.4362016,1.3571569,0.61889315,2.8955386,-2.278486,3.2298403,-0.6275094,1.8354437,-3.4778152,-0.8013639,1.4469876,-0.8980007,-1.0805618,3.382763,-2.5116374,1.9933126,3.5761836,4.085706,0.19767198,0.5545862,0.82153416,0.30400372,0.52638614,1.4266294,2.731031,1.0489116,4.7981114,-1.3319186,2.791605,-3.1767225,1.0,2.1407293e-16,1.0,3.0,C_Sav_23,-1.5732667,3.4238791,0.9045302,0.17111912,-0.5219058,3.4511943,-0.8101419,0.069931686,1.3754818,-0.38324004,-0.7756429,-0.047428854,0.45090544,1.32538,-1.0819129,0.30731392,-2.1892102,2.109156,5.3697615,1.7478285,-2.9212909,0.1141032,1.1394527,-2.2168174,0.18428424,3.0652812,1.2805955,0.14728066,2.5773034,-1.0255942,1.1326306,-1.7153622,1.0,0.8761905,0.72,4.0,CH_Sav_50
-0.7171543,8.076617,1.4894764,-5.362664,1.4269985,1.8315048,-5.8937473,0.6285765,2.8792534,2.5846148,-0.27806482,1.027178,6.330995,1.4595351,-3.7849083,2.207478,-1.8319995,7.667202,2.771073,-0.9237218,1.2455711,4.044503,3.8397183,1.1358333,-4.097802,-1.1050715,-4.4428387,2.1209543,0.072231114,-2.2212796,-1.4340891,-1.1309068,1.0,1.3480393,0.7909091,9,CH_Lvav_28,-1.0080571,-0.41947263,-0.24288481,0.8059155,1.543112,-0.9726763,-3.4972763,2.8714697,0.6623711,-2.1441143,1.664642,0.67843384,-0.59720385,0.9981912,-4.298174,0.33192945,0.7672641,-1.9773991,4.5591125,2.1628156,-2.022553,-1.1778792,1.2561568,-2.9635139,-1.1190484,2.4134796,1.7211919,-1.0429068,-2.8602605,0.38565648,-1.786835,-0.10556376,0.11,1.3027921,0.7190476,14.0,C_Sav_23,-0.6931536,0.38727635,1.0739745,-0.58606625,0.30898005,1.9528372,-1.998558,0.5078776,1.4489869,-0.6813095,-0.14194065,0.7992741,1.1113473,2.1085987,-3.9831905,0.45264018,-0.7516695,0.82903606,5.0794244,1.2848163,-2.590599,-0.011027575,0.6035428,-2.8757434,-0.3315663,3.2559848,1.4037738,-0.20272446,-0.2620232,-1.2175881,0.2295448,-1.327773,1.0,1.3443413,0.75384617,10.0,CH_Sav_50
0.18738365,6.0903225,0.51646495,-1.0654379,5.037218,-0.27150345,-3.1720808,3.8188038,1.4643725,-1.06156,-0.5819942,2.2946832,1.1607665,3.190939,-4.0707617,1.3291398,0.31958246,4.281375,0.3854881,-1.185936,1.9332435,4.6311183,-1.0943427,0.29573095,-4.304195,0.7406259,-5.3073235,1.3291135,1.4404665,-3.6563044,-0.665341,-4.505169,0.8125,1.1919192,0.74,6,CH_Lvav_28,-0.39388913,1.0716586,0.5730982,-1.6702675,0.08332609,-0.026106477,-3.1354747,0.4275778,0.9453584,-1.1495548,-1.1682851,-0.6654377,1.1936852,0.4367316,-3.1908305,1.764877,-0.66288924,0.29893106,3.8172305,3.6627798,-1.8709321,1.2820563,2.0479264,-2.7923596,1.607203,1.498139,1.8442113,-0.479784,-1.1676944,-0.022934914,0.9577842,-0.57917523,1.0,1.1970588,0.84444445,9.0,C_Sav_23,-1.4652572,4.4262543,1.1328844,0.3500193,-0.6328238,3.6908445,-1.4293926,0.14004421,0.5809779,-0.1839908,-1.0398631,-0.8710977,0.6974546,0.55158234,-0.5083807,1.0611671,-2.027446,2.246109,5.3414874,1.9534318,-2.4478798,0.30320805,0.91122687,-1.7867332,0.3987041,2.9077766,1.094676,0.18567438,2.864502,-1.235796,1.0837979,-1.8195211,1.0,-0.6666667,0.8,2.0,CH_Sav_50
-1.5920703,6.0852823,-1.6818292,2.9760275,-1.9809191,6.8507776,-1.391231,7.530839,-2.809286,2.7732258,-6.802462,-0.6220997,-0.13712144,-2.091712,-3.0943947,6.3254714,0.1842773,-6.760678,1.0980258,4.0133514,-0.9372777,5.138685,5.558202,5.573786,-2.0123725,1.5261288,-0.4790821,5.630023,2.714231,-0.080471694,-0.008691788,-0.7507652,1.0,1.3886693,0.78571427,12,CH_Lvav_28,-0.904563,3.9487548,1.9011071,-0.56688243,0.2663805,2.0388653,-2.6786199,0.7046001,0.23954457,0.3988024,-3.3622737,-0.9556669,0.8084358,-0.6011735,-1.6134269,2.675591,-1.7768894,1.3797574,2.6660807,3.8072815,-1.527156,1.120992,1.3192456,-1.6475375,1.3077615,1.9651638,3.3706005,-0.19694571,2.0639849,-0.5413147,2.230396,-1.8626822,1.0,1.062937,0.7818182,7.0,C_Sav_23,-1.3338735,3.0164433,0.79665226,-0.07178965,-0.5135528,3.203813,-0.7535437,0.14485693,1.6731188,-0.40432256,-0.80300283,0.14279442,0.6258864,1.4042494,-1.4007453,0.22470844,-2.143427,2.0147734,5.113243,1.668761,-3.0308342,0.20134926,1.0493052,-2.4219344,0.105654866,3.0841165,1.2568803,0.17698422,2.4309506,-1.1074067,1.1776719,-1.6611172,1.0,1.0952381,0.625,5.0,CH_Sav_50
-0.5230534,2.1895263,-3.1433463,4.486281,2.5494783,4.741559,2.605817,6.6854267,0.4454078,-2.1635704,2.2827547,-0.6649065,1.0118432,2.413816,-0.015968412,1.3388032,-5.2433004,3.785077,4.3620896,-4.9146523,-5.623174,0.992312,-2.366016,1.4205537,-0.33732063,-4.176297,-4.718972,-2.5663958,0.85931885,-2.2712183,1.2666699,-3.1366196,1.0,0.0,1.0,1,CH_Lvav_28,-1.0174764,-0.3162607,-0.23192579,0.72415996,1.4837896,-0.9611082,-3.4522123,2.7659016,0.64417565,-2.1292703,1.6055322,0.6263674,-0.48374262,0.9318874,-4.273401,0.39402497,0.7859354,-1.9041348,4.5451508,2.20485,-2.0327623,-1.004867,1.3030603,-2.9575224,-1.0333898,2.4201276,1.7373469,-0.9969482,-2.836597,0.23261714,-1.7132125,-0.16583502,0.29927006,1.2872463,0.77894735,13.0,C_Sav_23,-0.52013814,-0.49025023,0.6647036,0.13494048,0.69606495,1.2242674,-2.1053326,1.557176,1.143841,-0.9657695,0.45586997,1.2101938,0.93047845,3.0011153,-4.3139577,0.11661923,-0.04956174,-0.20477942,5.076927,0.7164373,-2.2551997,-1.0497998,0.106876224,-2.782899,-1.1930395,3.2822285,0.9507203,-0.49021828,-1.658204,-0.044216633,-0.96705055,-1.0445338,1.0,1.4266666,0.7911111,13.0,CH_Sav_50
