dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,activity,growth,symmetry,timepoint,seed_key,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,activity,growth,symmetry,timepoint,seed_key,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,activity,growth,symmetry,timepoint,seed_key
-2.8399901,0.31388846,2.2884398,5.7523623,-3.3781886,2.355484,-5.504526,3.305803,-0.21155256,-2.1912332,-1.0713658,-2.0793238,-0.15035424,-1.257243,-1.0846679,0.082066,-0.90221083,-0.6093531,2.468997,0.67185515,-1.5279503,0.38515124,3.8655932,-1.19346,-1.1118497,-7.925118,3.8274775,6.101924,-1.9921343,1.7237617,-0.42431015,4.2848735,1.0,0.8,0.9,4,CH_Lvav_28,-0.8283236,-2.4073782,-1.2655988,0.3963467,0.64283746,-4.1686373,-1.1666797,-8.416381,-2.5203059,1.3290877,-1.697654,0.49542415,2.0927687,-1.7442696,1.1213846,0.3263037,1.382848,-0.20033753,0.8855915,4.3752775,3.7119057,-1.6568705,5.4759674,-1.3611286,2.744177,-0.8780095,-4.054699,-0.29193348,6.610612,4.747093,1.2155513,5.530949,1.0,0.75396824,0.6666667,5.0,C_Sav_23,-2.0480232,-2.317111,-2.4224482,2.4534311,2.8359776,1.7147737,-2.737742,-6.3684683,-1.4693215,2.0649185,-2.639531,0.046375036,3.387746,-6.2839203,-5.1102734,-4.7229033,1.6792965,-3.033533,0.83648616,2.9652228,2.8867214,-1.4629052,8.186613,0.12357712,4.298764,-3.3267188,-1.9994776,6.114471,3.548201,-2.248569,-3.023753,5.6191893,0.0,0.0,0.0,0.0,CH_Sav_50
-0.01758647,-0.33049023,0.11387796,-2.6054206,1.0841036,-0.13155615,-0.39295554,1.7873222,1.7489798,1.2496958,-0.8688921,2.9946203,-0.57685584,-0.15916076,-2.4097514,-1.829458,0.9275752,0.45498073,-2.9507701,-0.9818028,1.0976889,-2.429676,-1.333219,2.5350661,0.78430843,1.5580117,-3.0550275,-2.0983844,-0.5543223,-1.7013447,0.17635477,-0.6216594,1.0,1.2657343,0.7692308,7,CH_Lvav_28,-1.402262,-1.6385273,-2.6494062,-3.8318357,-1.597057,-2.4735427,-3.5552912,-2.2864702,-3.7626364,0.0048367977,2.3415585,1.4125875,0.40190658,-2.0999541,4.2306767,2.8455963,1.1809185,3.1435056,1.5705804,5.4242315,-2.0856016,-0.78726673,-0.04899335,-0.9502268,5.156955,-4.432857,-2.8334537,-1.6525409,5.49733,6.4214497,1.5805285,3.231432,0.94174755,1.247619,0.8230769,11.0,C_Sav_23,-3.9573412,-3.004558,-3.522442,0.4101175,2.1902447,-1.0597278,-4.2028503,-2.559683,-2.261392,2.9568875,2.601723,-0.62786734,2.230776,-3.108004,0.13106489,-1.7164097,1.2145224,0.63203263,-1.4777683,5.3550735,-4.350472,-3.3183243,-0.90958834,1.8916441,3.915345,-3.524787,0.44363213,0.17348957,2.1520588,-0.7693273,1.1457452,4.1755805,1.0,1.4063617,0.7589744,12.0,CH_Sav_50
-0.56686366,4.498047,-4.0664926,-6.0794334,2.7388504,4.142439,-1.8274412,2.0751026,-5.61569,-6.86458,-3.2265017,-4.1027856,2.5930824,-4.9380703,-7.0333614,-3.433091,3.1450562,-3.0773587,-0.24590886,-2.1687822,3.7161534,6.5561357,1.3535428,-1.3159783,0.9233523,5.3756304,-0.4001577,-2.3114645,-2.9145079,2.5206876,5.0421224,0.50895053,1.0,1.4417391,0.7372549,13,CH_Lvav_28,-1.0295284,-3.2963324,-1.1466942,0.4891652,1.044702,-3.439969,-0.7196907,-10.124947,-2.4938045,1.7308865,-2.9472616,0.12186229,3.4785826,-2.203227,-0.08103818,-0.75734234,1.528893,-2.9325914,1.1961031,3.1200626,6.402463,-1.97301,9.525856,-1.921187,1.0482233,-0.9677237,-5.9357996,0.3215865,7.084006,4.0060234,-0.46420878,4.6316295,1.0,-0.6666667,0.7,2.0,C_Sav_23,-1.9095002,-1.8798016,-3.602965,1.5876318,3.812872,1.2142992,-2.5421596,-5.9828234,-1.2383289,2.0894377,-1.0059129,-0.26731527,3.4141989,-5.7253933,-4.154009,-4.3581386,2.4446616,-1.9392658,0.05911529,3.7799153,2.1106758,-2.0648825,6.6004696,1.2535132,4.672206,-2.9051523,-2.0751944,5.79429,3.2447205,-2.224967,-1.6459179,6.1569715,1.0,0.0,1.0,1.0,CH_Sav_50
-0.4607107,0.29945326,1.5664144,-3.376254,0.99736255,-2.4295192,0.5084455,1.3281796,1.535295,0.14995414,-1.8531442,3.627408,-1.950786,0.17103395,-1.6275768,-0.9664266,-0.0013331175,3.8776646,-1.2483599,-1.322308,1.2582963,-1.0675381,-3.4750195,1.2189969,1.4674976,1.7698497,-2.9350023,1.3683572,0.100452185,0.248555,-0.55567855,0.34602147,1.0,1.378741,0.7785714,10,CH_Lvav_28,-0.8119818,-1.411204,-3.0733547,-4.097567,-1.5337093,-1.7280186,-3.831861,-1.2288326,-3.5731115,-0.32368493,2.7523685,1.300846,-0.021041192,-2.1678977,4.2793064,2.8359354,1.369487,2.9243803,1.4390514,5.2762527,-2.2407098,-0.67314327,-0.26309812,-1.0271353,5.2803526,-4.354786,-2.6340818,-1.5643146,5.506964,6.3584743,1.5197926,2.9012442,0.81512606,1.2633164,0.8516129,12.0,C_Sav_23,-2.711452,-2.1621127,-3.119255,0.35789788,3.259406,-0.24057424,-2.3907566,-5.6433516,-1.2831774,2.6463165,0.5013449,-0.79124975,3.3656034,-4.3974953,-1.5261247,-3.392076,1.2220621,-0.9367523,-1.1597395,3.7537465,0.19043034,-3.1110463,2.9465709,1.5249738,3.5495307,-2.866013,-2.2926202,3.21918,2.0119216,-2.7044497,-1.2309866,4.239003,1.0,0.6,0.55,3.0,CH_Sav_50
2.3884122,2.6812034,4.8257804,2.2604477,3.370524,3.131483,0.8093407,-8.200278,-3.76378,-1.0805702,-4.5689173,3.827014,2.054124,-6.9586377,3.5128229,0.59421253,-3.0251276,-2.264841,-3.1454258,1.2764918,1.8426974,4.1924944,2.445918,3.5827775,-0.69666165,-4.1721716,0.7669554,-11.734799,9.130478,-1.7088888,3.01215,4.272238,1.0,1.3054945,0.6526316,8,CH_Lvav_28,-1.9040415,-2.4654732,-1.7117606,-1.0341464,-0.064451516,-4.602443,-2.056114,-5.977822,-2.6761174,0.6442937,0.19971736,0.7559041,1.061004,-1.3706998,2.3599389,1.3852171,0.8499277,2.1507516,0.7257072,5.935903,0.7268525,-1.940071,2.9161782,-1.1120864,4.2551637,-2.4835467,-3.386794,-1.1185119,6.0054874,5.755301,1.6216879,5.176847,1.0,1.1575092,0.8,8.0,C_Sav_23,-3.3881035,-2.5200915,-2.9766333,-0.111065865,2.754516,-0.7003782,-2.5110035,-4.737405,-1.5644736,2.8737333,1.087643,-0.6476562,3.360017,-3.4761362,-0.4323029,-2.7014124,1.0045378,0.13569844,-1.2191062,4.04691,-1.4862338,-3.1604881,1.161742,2.055194,4.019063,-3.0989785,-1.8074579,2.163141,1.7391572,-2.5298135,-0.39140475,4.166365,1.0,1.2161616,0.6,6.0,CH_Sav_50
-2.5979276,-2.759677,-1.876582,-4.3305936,0.39105767,-1.6883594,-1.3942508,-4.805378,-2.3555017,0.7776219,1.5732441,0.3476256,0.044613257,-1.0006304,2.5814302,1.6260995,-0.6872478,1.5110632,-0.05632931,4.6674123,-2.064297,-1.9283985,-0.8959353,0.615698,3.028496,-2.0553942,-1.292026,-3.2630627,4.972519,4.0628643,-0.095039785,3.8782465,1.0,1.4755555,0.78909093,14,CH_Lvav_28,-0.8360425,-2.9884205,-1.0149367,0.42943263,1.082614,-3.572555,-0.62574244,-9.737808,-2.098933,1.2103989,-2.5598786,0.12817836,3.2656906,-1.8345859,-0.014654458,-0.58909297,2.073244,-2.3832285,1.0856733,3.6499934,6.209582,-2.0590327,8.776327,-1.871609,1.4650635,-0.8465826,-5.3492002,0.59070724,7.1101346,4.0575724,-0.12278968,5.073702,1.0,2.1407293e-16,1.0,3.0,C_Sav_23,-2.7440615,-2.233038,-3.0832562,0.2845012,3.219389,-0.41304618,-2.4406312,-5.394864,-1.303312,2.548592,0.56888884,-0.6228906,3.3180285,-4.172316,-1.2973955,-3.1368122,1.2354274,-0.7961204,-1.2429645,3.7851086,-0.2870576,-3.1548452,2.3948667,1.7061404,3.5537028,-2.9370928,-2.2063403,3.008283,1.9798353,-2.6962292,-1.0011525,4.1523237,1.0,0.8761905,0.72,4.0,CH_Sav_50
-2.3632905,0.029584736,2.6488802,5.997685,-3.7197485,1.4126604,-5.249109,2.2291498,-0.8533913,-1.7214041,-1.6665545,-4.206311,-0.71920073,-1.4404358,-0.5922768,0.77856576,-0.9892973,-2.0162282,1.5438339,2.5589974,-0.0065518618,0.2298404,3.0392132,-2.8193192,-1.6871504,-4.022809,3.980344,3.2120295,-2.6423976,1.0374877,-1.5292029,2.449652,1.0,1.3480393,0.7909091,9,CH_Lvav_28,-0.6389191,-1.3127513,-3.152165,-4.3406954,-1.4362462,-1.7079145,-4.053132,-1.1773874,-3.6327744,-0.41327548,2.8041813,1.3398658,0.0057325363,-2.4082775,4.295123,2.787569,1.4568586,2.7568727,1.5890182,5.3375683,-2.4368107,-0.79148686,-0.47980595,-1.0196629,5.3857102,-4.412151,-2.4607844,-1.4083076,5.548725,6.35615,1.35342,2.830895,0.11,1.3027921,0.7190476,14.0,C_Sav_23,-3.8288064,-2.9471712,-3.4087007,0.4379002,2.1990824,-0.8610928,-3.4234462,-3.171618,-1.7094647,2.957756,2.2105653,-0.5671601,2.7195582,-3.3635516,0.12153435,-2.2912962,1.2138054,0.6823673,-1.6778438,4.8851857,-3.4645436,-3.2317655,-0.14488065,2.015079,4.1487784,-3.2760215,-0.6017909,1.0032284,1.975605,-1.566931,0.82036364,4.254021,1.0,1.3443413,0.75384617,10.0,CH_Sav_50
-1.0014074,-1.627247,4.071785,7.1049533,-1.4396901,-1.2952508,-5.218115,-2.3928792,-0.6177118,0.1237666,0.020917028,-0.5237254,0.19809592,0.14459187,-0.63674366,2.0617592,-2.4892073,0.8826449,1.6553136,3.7416372,0.4537092,2.602047,4.4772854,-6.167449,-0.4122656,-1.8824339,2.8230994,1.0377753,-1.1968398,2.2996082,-3.5768073,-0.4357627,0.8125,1.1919192,0.74,6,CH_Lvav_28,-1.9443407,-1.7390271,-1.9644947,-2.6760817,-0.79291666,-3.691306,-2.6550689,-3.902884,-3.3479085,0.2996809,1.4297314,0.816074,0.8079963,-2.0576706,3.4915998,2.3779795,0.74147743,2.8880262,0.96898973,5.7989125,-1.1472037,-1.2592267,0.6566042,-0.62525034,4.9200153,-3.352131,-2.7275867,-1.2015073,5.3623066,5.815739,1.5947075,4.5962486,1.0,1.1970588,0.84444445,9.0,C_Sav_23,-2.8175251,-2.4058537,-3.5639513,0.7408348,3.7677293,-0.014278948,-2.618437,-5.8353467,-1.3964932,2.8820744,0.6297866,-0.85642374,3.4304786,-4.786601,-1.4068887,-3.8209095,1.5718176,-0.42261505,-0.72553873,4.044178,0.2457971,-2.8452463,3.3752346,1.8263911,4.4128504,-2.9647279,-1.9152942,3.9602356,2.614059,-2.8652112,-1.0512166,5.277009,1.0,-0.6666667,0.8,2.0,CH_Sav_50
-0.4859342,0.16199005,-2.7246757,-2.1811728,1.7589874,0.35061014,0.24931431,-4.441947,-1.8499138,1.6618118,2.6595423,0.15631461,4.8019485,-3.8469877,-0.3319721,-2.7676456,2.9579465,1.0648335,-1.8425455,0.57261574,1.6221504,-0.7316241,2.014618,2.5579758,1.4100825,-0.52027774,-0.87021923,-0.89809257,0.13908589,-1.9446115,1.3978229,-1.7768798,1.0,1.3886693,0.78571427,12,CH_Lvav_28,-1.4724096,-2.415975,-1.6206342,-0.19144535,0.31324965,-4.384301,-1.5782132,-7.245905,-2.77706,0.9233472,-0.8092047,0.80148685,1.4049779,-1.5618972,1.8448675,1.0005516,1.0224063,1.2140445,0.88110185,5.1145334,1.8919909,-1.5701083,3.8933165,-1.1331837,3.4625976,-1.7594442,-3.5297275,-0.7355204,6.2335505,5.4479637,1.5283614,5.4127884,1.0,1.062937,0.7818182,7.0,C_Sav_23,-3.1043808,-2.4035702,-2.9542441,-0.0732857,2.9172065,-0.47550392,-2.360463,-5.088204,-1.4445364,2.8072484,0.7346486,-0.67867863,3.3824694,-3.6860857,-0.82207644,-3.0155861,1.0294502,-0.37364244,-1.1785686,3.8369098,-0.88598484,-3.2186985,1.7658758,1.895065,3.74106,-3.0131574,-2.0675042,2.4593885,1.6955168,-2.6431785,-0.781279,4.016577,1.0,1.0952381,0.625,5.0,CH_Sav_50
3.4546716,0.17870744,-1.2591316,4.300365,-3.6489236,2.3684165,-3.5607014,4.202593,1.5312898,-0.35662246,-0.5923463,5.9072695,-7.3592343,-0.66675425,3.2876668,2.7500086,2.1384468,-1.669087,-2.6778488,0.8380351,3.24243,-3.100374,0.0841825,-0.3759427,-5.5317802,-8.03981,-0.64619136,1.4810829,4.102623,3.1153142,5.418061,5.68269,1.0,0.0,1.0,1,CH_Lvav_28,-0.6885078,-1.2932824,-3.10329,-4.1828494,-1.3731325,-1.692262,-3.8871903,-1.249228,-3.51883,-0.295341,2.819628,1.2279938,-0.031859912,-2.3443704,4.3239536,2.712698,1.4864268,2.679575,1.3832903,5.2967334,-2.2566383,-0.82836425,-0.3680439,-0.9813944,5.23226,-4.2093863,-2.433195,-1.4410579,5.488297,6.2319617,1.4043878,2.8922098,0.29927006,1.2872463,0.77894735,13.0,C_Sav_23,-4.0849767,-2.994906,-3.4493113,0.44641185,2.1489565,-1.1396872,-4.4048853,-2.5163927,-2.3156397,2.8634846,2.7168248,-0.7055036,2.1390686,-3.1775565,0.12494993,-1.6352359,1.1439524,0.60893476,-1.5511856,5.5283012,-4.420375,-3.342902,-1.0185294,1.790857,3.8289063,-3.677473,0.67980576,0.10587925,2.2269664,-0.5627551,1.1628345,4.1999354,1.0,1.4266666,0.7911111,13.0,CH_Sav_50
