dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,activity,growth,symmetry,timepoint,seed_key
-0.39139605,0.12044816,-1.150474,-1.0455922,-0.06357998,1.1315749,0.08246876,0.16903348,-1.015386,-0.03578478,-0.549446,0.31653455,0.54454476,0.618546,0.9472217,-3.4602237,-0.8109778,-1.8969438,0.9252114,0.62104833,-0.29349938,1.0561886,-0.54010737,1.2543685,0.12904033,-0.9394013,0.38688082,-0.48059765,-0.5493356,0.96466947,-0.7687992,-0.57888585,1.0,1.15,0.55,9,CH_Savav_45
-0.50241107,-0.16781726,0.26558343,-0.015423693,0.7127733,1.7622943,0.8583774,-0.6930177,0.054198995,-0.48804164,-3.1243815,-2.2086442,1.3069942,0.124469504,-0.3767059,-0.25488207,-1.5095425,0.18295234,-1.3380911,-1.0927628,-0.92843145,2.3803277,-0.63149834,0.61670494,0.037043735,-0.69829756,-1.099774,0.13913272,0.30886424,-1.4646988,-0.7904601,-1.2484893,0.14606741,1.1052136,0.48,12,CH_Savav_45
-0.74263555,0.2694381,-1.2639372,-0.27514714,-0.15059064,-1.9657241,-0.42089683,-0.45565915,-1.1534736,-1.518446,1.1701783,0.7411518,0.3361558,-0.08354841,-0.48912314,-0.12609728,-0.058310494,-0.33272725,0.6275611,0.14903721,-0.27629003,-1.1079079,-0.22192441,-1.2854005,0.63041264,1.8808408,1.8706514,0.5626679,0.6987071,-0.12878118,0.32889745,0.56018734,1.0,-0.6666667,0.8,2,CH_Savav_45
0.08965106,1.0640502,-0.4426014,-0.47167012,-1.5039858,0.9769874,-0.05842086,-0.39897972,-1.1017244,-0.6226001,0.12982379,0.94488865,0.4234085,-1.0607238,-0.39177296,-1.3054212,0.5754343,-0.60584897,0.4116451,0.32980943,0.2605791,-0.0015084147,0.7082089,-1.1367112,2.003665,-0.34636232,0.2726844,-0.730684,0.10529775,-0.747693,0.54913056,0.19001238,0.89041096,0.96866095,0.36,14,CH_Savav_45
0.014709204,-0.21737742,-2.3184333,-1.1764375,0.7337729,1.7897046,0.242068,-0.9325722,-0.8107014,-0.8944143,0.31580618,0.59092534,0.75411046,1.8765659,1.064029,1.786313,0.57522,-1.2356054,1.4870794,0.30580294,-0.30509388,0.31045753,1.0763587,0.09718233,-0.34083953,1.1766238,-0.47335517,-0.7572696,-0.7136323,0.328572,-1.7681464,1.7679472,0.0,0.0,0.0,0,CH_Savav_45
-2.7001991,1.6046858,-0.91623783,-0.59634036,-0.3265078,-1.3029989,0.61165035,1.3880639,1.040056,0.62582225,-1.9358826,0.2241883,0.6446678,0.3507595,0.13874805,-0.84232575,0.026547223,-1.5239881,1.4216084,1.2328355,-0.842337,1.2268251,0.3132887,0.5633887,1.6953483,-0.40686828,0.117460385,-0.945336,-0.70235384,-1.0714282,-0.20566815,0.010533009,0.6888889,1.1575092,0.64,8,CH_Savav_45
-0.9828526,-0.51279294,-0.40987334,-0.042146653,0.14518766,-0.9111021,0.20687535,-0.37159693,-0.14712332,1.7015058,-0.49473748,-0.90144086,-0.6937268,0.8827537,1.2705513,-1.8283403,-1.2848002,-0.4228156,-0.55360806,-0.48192942,-0.67877376,2.1226072,-0.01998613,0.2389763,-1.0451719,-0.85737497,0.4361174,-0.04403612,0.052599035,0.22129194,-0.44601956,-0.06976496,0.8947368,1.1468868,0.5478261,10,CH_Savav_45
-1.6910849,2.9145377,1.2604173,0.16269346,-0.30952278,1.0861745,-0.08915176,-1.0965782,1.7637999,-1.0803314,0.32924715,-0.8592212,-0.42444217,0.68213594,-0.030686501,-1.9630587,1.4307656,1.0944653,0.6541903,-0.23335952,0.17337611,-0.29958427,0.65992296,-1.300432,-1.1004775,-0.6662079,-0.020708412,0.21176966,1.067146,-0.6066638,0.30907243,-0.504859,1.0,0.4,0.5,3,CH_Savav_45
0.3299933,2.072869,-2.033837,-1.1688997,-0.67306006,-0.20541844,-0.83630496,-1.8288677,-0.0740083,0.9432526,0.8246577,-0.19947927,-0.9417039,0.25179517,-0.39654052,0.5527557,1.2724197,1.022602,0.6571684,-1.0352595,-0.7992251,0.395937,0.37941578,0.14387354,-0.9448503,-1.2888255,-3.4514139,1.0041587,0.7479638,0.37052542,-1.2082372,-0.6081563,0.8933333,1.0475363,0.30769232,13,CH_Savav_45
0.15369059,-0.637639,1.0260692,0.7074739,0.3979676,1.136763,0.10005373,-1.1056716,0.56756186,-1.1270452,0.52535033,0.050366044,1.5081823,-0.6225705,0.124723226,0.93807423,-1.6672837,1.714725,0.7599304,0.27578837,1.7867918,-0.4238584,-0.6821812,1.8460629,-1.9861223,0.060473964,1.0362412,-0.71846414,0.54857796,1.3096352,-0.6723907,-0.39341652,1.0,1.2494173,0.65,7,CH_Savav_45
-0.34427375,-0.07439401,-0.06814634,-0.46039438,-0.5301793,0.8193909,-0.78407025,-0.5471653,-0.049399637,-0.40210542,0.82818425,0.16272645,-0.68188137,-0.77561086,1.4591904,1.3605077,-0.63365364,-0.18076651,0.51953876,0.1150811,-0.48451293,0.74653614,0.70665294,0.20684934,-0.2837325,0.14377882,-1.2481636,0.23795503,0.6056423,1.0643417,-0.3669049,1.4507856,0.84,1.1383458,0.53846157,11,CH_Savav_45
0.5631487,0.057339005,1.3418143,-0.6987479,-1.0574919,2.3811529,-0.4210816,-0.7994157,1.2334851,-0.5634032,-0.09885751,-0.12512107,-1.0964073,0.6419582,0.054956794,1.843015,-0.24843569,0.43363386,-1.84896,1.2839395,-1.2660432,1.4605932,0.2505106,0.770758,-1.2196474,0.1100955,-1.0961044,0.33551642,-0.4084968,1.2333906,0.23822345,0.72512823,1.0,1.1904762,0.6857143,5,CH_Savav_45
-0.15051818,1.3209991,2.185708,-0.23043962,0.46068382,-2.039791,-1.2197492,0.68438345,0.45814136,-0.4721914,2.142194,0.6438249,-0.34312233,-0.53063726,-0.56200594,-1.0274844,2.681989,-1.1209463,-0.17262682,-0.63328034,-0.942261,-0.99633133,1.0998533,-1.4021463,-0.3809148,0.471148,-1.484037,-0.5365244,-0.5078805,0.33319187,0.7323131,1.7368951,1.0,0.8,0.56666666,4,CH_Savav_45
0.57841825,-0.46380776,1.4683328,-1.0364082,0.12310243,-1.0433098,-1.4383197,0.015773684,0.53229463,0.83613783,-1.3747991,-0.683074,-1.618361,-0.28621572,0.15809967,-0.0663557,-0.17680895,-1.0476729,1.0531591,-1.540559,-1.8146354,0.7053051,0.43505955,-0.20792705,-0.10896218,-0.7159113,-1.3809799,0.19611126,-0.08366978,0.51162714,-0.39740202,-2.0317166,1.0,0.0,1.0,1,CH_Savav_45
0.1424502,1.5558679,-0.8879682,0.67252177,-0.09887062,2.0212855,0.20273905,0.7895317,0.86882055,-0.4510182,-0.6782353,-1.1304978,0.6455014,0.03969975,1.0144618,-1.027775,-0.0012170989,1.2315675,0.65575194,0.23830953,0.7526271,0.25597107,0.31950933,0.12088522,-1.0071656,-0.43796176,-0.73551774,-1.5504653,-0.21168956,-0.56688565,0.6423192,-1.2161658,1.0,1.2282828,0.54545456,6,CH_Savav_45
-0.66883045,0.3927587,-2.4332993,0.32866052,-0.004898861,-0.4236802,1.089794,0.7321771,0.3247598,-0.58870417,-2.6572785,-1.6035749,-0.053471982,0.21540958,1.0304388,0.13268006,-2.4484925,-1.2499999,-0.063106865,0.7145714,-0.027427014,1.202018,0.5640647,0.32607675,-0.8840287,-0.25970668,1.7938055,-0.38872495,-0.12121451,0.0069538504,0.25714895,1.1564655,1.0,1.159596,0.6363636,6,CH_Lvav_10
-1.8878652,-1.935224,-0.99963427,0.0026525557,-0.38541323,-0.25607863,-1.096353,1.2226117,0.40728652,-0.34063813,-1.085367,0.66119003,-0.26560217,-0.23943642,0.5407787,2.547555,0.13087803,2.590382,1.6784642,-0.038705245,-0.899085,0.6045966,1.4420935,-1.9545486,1.1291203,0.4641598,2.3534584,-1.4596509,-1.3809564,0.38376623,1.5035131,-2.062931,1.0,1.3571428,0.53333336,5,CH_Lvav_10
1.7463455,1.2419838,-0.72110784,-0.14909905,-1.9376603,-0.4318846,-0.66958666,0.9181482,0.24574924,-0.90774816,1.0043092,0.86475563,-1.5503551,1.2153143,1.986022,-0.7083557,0.87108225,-0.16069552,-1.8584414,-0.59182894,-0.43107915,0.01116246,-0.15907897,-1.4209855,-0.06418285,1.0148252,1.3505869,0.14833635,1.20096,-0.117900044,0.37160552,0.22457966,1.0,1.1002331,0.56,7,CH_Lvav_10
0.70110375,1.3551695,-0.22934434,-2.4286518,-0.47080553,2.096652,-0.852861,0.87566024,-0.39510486,1.1757724,0.107383125,1.2786423,-0.5154681,0.22787613,-0.41433513,-1.6134824,0.55186605,0.8227414,-0.6783405,0.81087923,-1.5851436,0.88384163,0.1656023,-0.40422675,1.2255274,-0.1201392,-0.67372954,-0.23157504,-0.14664151,0.3653096,-1.0215225,-0.28023538,0.9047619,1.106087,0.47142857,13,CH_Lvav_10
-0.9735459,1.4607549,-0.46195614,-0.23446107,0.25266406,-2.9104524,0.23386523,-1.4406389,0.12660518,0.10792285,-0.029961422,0.63363606,0.28346464,0.016859755,-1.1504928,1.2680168,0.50695264,-1.3880641,0.39463922,0.19521186,0.017882,-1.203791,-0.6905879,-0.36274225,1.0068623,-0.6276454,0.038238943,0.8533524,-0.31301534,-0.7684864,-1.4639941,2.6968212,0.9512195,1.118679,0.552,10,CH_Lvav_10
-0.5938281,1.8213773,-1.949395,0.025229156,0.1826465,-1.5237248,-0.366959,0.24701375,0.2861066,-0.11624731,0.13956606,0.67624676,0.71119934,-0.42860258,-0.42667907,-1.0397441,0.09738833,0.3288381,-0.15375626,-1.0095313,0.12734127,-0.58608294,0.71071965,-0.09882298,-0.0869922,0.44390145,-0.8125279,0.047239706,-0.316016,-0.42556334,-0.6816771,-0.49618706,1.0,1.1032968,0.57894737,8,CH_Lvav_10
-0.11468825,-0.13456485,0.49587184,-0.3954745,0.6457435,2.0419729,-0.253986,0.12827599,-0.9095469,0.69621974,-0.71481264,0.6932425,0.073969826,2.116283,-1.3002834,1.8988844,-0.64800787,-0.044755146,-0.07205093,0.4415511,-0.08986072,-0.46651137,-0.26840216,0.73112595,-1.099008,0.5999286,1.4372406,-0.8284646,-0.2914142,0.66139877,-0.8596114,0.8547554,0.90123457,1.1074644,0.47346938,14,CH_Lvav_10
