dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,activity,growth,symmetry,timepoint,seed_key,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,activity,growth,symmetry,timepoint,seed_key,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,activity,growth,symmetry,timepoint,seed_key
-1.8529227,5.4800487,4.4595323,3.9714453,0.20081985,0.6790348,0.870013,-4.1370807,-0.36270648,2.4966753,-0.87455744,-0.27414632,2.0025227,1.2230738,-0.57583123,6.398219,-3.4057727,2.6754446,1.3943018,-0.49799785,7.3371143,-0.26398563,3.2069473,-4.199798,-0.067106485,3.5235498,-1.6521016,1.2412916,-3.0469694,1.2839413,2.5583673,0.026607335,1.0,0.8,0.9,4,CH_Lvav_28,-0.8957423,-0.051249504,-0.10878128,-1.9019578,-1.7093796,-3.0291798,-0.8178427,-0.36027992,2.86911,0.7087569,-0.7719842,0.8747825,0.70519423,-0.4129917,-0.8812786,3.2179258,-0.6634185,0.9129478,1.9976872,-0.7235476,-2.0076108,1.174507,-3.4529023,-4.0186644,0.08356941,0.8368493,-0.16580975,1.6756129,-1.3149804,-0.99583846,1.6672928,-2.6134148,1.0,0.75396824,0.6666667,5.0,C_Sav_23,-2.0033448,1.3069549,0.07534373,-1.6972185,-2.426693,-2.6712704,1.1635551,0.08075762,4.407029,1.09005,-1.0953336,0.3780812,-1.5032376,-1.3803095,-0.9738536,1.7815864,0.93413246,0.9631716,1.7008334,-0.25051272,-1.5482911,1.2929177,-2.6625888,-3.0453882,-0.651713,1.1286035,-0.056931853,2.3682237,-0.75916296,-2.923009,1.2140241,-2.988525,0.0,0.0,0.0,0.0,CH_Sav_50
-0.9629647,4.5277734,5.915347,-4.155857,-1.0432878,-0.0917138,0.89442694,3.0675142,-6.234697,-0.3137768,-0.76893437,2.4291961,2.4373703,-2.8273528,-2.7762685,3.941555,-2.2062695,1.9551152,-1.4071114,-1.3849759,-1.3636153,2.8529649,-7.0730195,1.8137571,-1.2210504,2.9930353,-1.505887,-0.6090809,-2.3157306,3.2179022,-1.366096,-2.1635888,1.0,1.2657343,0.7692308,7,CH_Lvav_28,1.4843667,1.0200679,-1.0702754,-2.677842,-0.17446975,0.56095356,-2.7819383,0.017980337,-1.0797023,-1.024277,0.94891965,2.5868363,1.5772285,-1.1403236,-0.30889702,3.4894137,-2.3472958,0.366194,1.8392621,-0.049139887,-1.8764132,2.146153,-3.3167522,-1.9891889,-0.79581153,1.7623894,-2.022325,1.1677619,-0.15291053,1.8542027,-2.4229908,-1.5464709,0.94174755,1.247619,0.8230769,11.0,C_Sav_23,-0.023079216,2.0599651,-0.9322226,-0.888535,0.7805142,0.64952844,-1.9631006,-0.124475,0.5342515,-0.15759063,2.103003,3.7626274,0.74415016,-0.6204223,-0.3548265,0.9629118,-1.8571151,-0.77688825,1.3985182,-0.47243145,-2.5866792,1.7139418,-1.5324937,-2.1127973,0.34576237,1.6011455,-1.8346885,1.0655988,-1.661493,0.14300784,-3.0398123,-1.6196072,1.0,1.4063617,0.7589744,12.0,CH_Sav_50
-0.6676485,-1.8781198,-1.671238,3.027671,4.823751,-3.1399152,0.24793121,0.56240225,8.012927,-0.7029597,4.6551247,3.8383448,1.2168305,-1.2107525,-8.12628,-1.0122106,0.6473496,4.0214868,-0.2536273,0.009271383,2.0060146,5.719332,0.529227,0.37693858,-1.0923022,-4.947753,1.9641852,4.480083,-3.2727458,2.880069,3.4245522,-2.3154352,1.0,1.4417391,0.7372549,13,CH_Lvav_28,-2.7929454,0.09925759,0.67884636,-2.1017408,-1.4462895,-2.6086533,-0.04208818,0.31810284,3.8285582,1.1298834,-1.9629434,0.63391095,-0.15394187,0.502533,-0.694596,2.994333,-0.1606046,1.7055246,1.6337134,-0.16673249,-1.7810541,1.4292239,-3.3618217,-5.00201,-0.13211131,1.3091285,0.18438387,2.3223252,-1.3589091,-0.50778294,2.3372443,-2.2514827,1.0,-0.6666667,0.7,2.0,C_Sav_23,-0.856868,1.4901613,-0.38742256,-1.8096826,-2.2602072,-3.0348444,0.73252,-0.4850899,3.505656,1.1029875,-0.69304556,0.7332244,-0.95248127,-1.5164808,-1.2338369,1.9655709,0.23844874,0.45361757,1.1227051,-0.78495884,-2.0952911,0.9083509,-2.6276143,-2.4847507,-0.07036352,0.6278162,-0.2809136,1.9081028,-1.1332142,-3.2971268,0.7736736,-3.3221266,1.0,0.0,1.0,1.0,CH_Sav_50
0.012695432,7.224841,-5.4679565,0.19100094,-2.4915147,0.38363212,3.2738552,-4.6063547,9.222851,-2.4345164,-1.1407056,-2.8821476,-1.5118798,-5.036372,3.9656768,2.1311886,2.3336673,1.955835,5.3447084,-0.4252371,-6.1862864,4.426341,2.4192548,8.375814,5.3219194,-3.1431458,-3.1491728,-1.2469205,0.626775,2.852287,-5.41659,-3.7530065,1.0,1.378741,0.7785714,10,CH_Lvav_28,0.88750976,1.2977415,-0.9134572,-2.5057378,0.5329332,1.4454577,-3.1008258,0.06930542,-1.3190558,-1.1721919,1.018323,2.947524,1.7433102,-0.8365403,-0.2646692,3.394226,-2.6166978,0.43476582,1.3323559,0.6328069,-1.7046546,2.066608,-2.8807743,-2.2850945,-0.9855434,1.7208934,-2.410901,1.3782332,0.059688985,2.6227238,-2.8627012,-1.4643168,0.81512606,1.2633164,0.8516129,12.0,C_Sav_23,0.8563891,2.0033329,-1.3925959,-1.7422925,-1.8068597,-2.6526697,0.53699744,-0.4589553,2.8626947,1.0086813,0.45387438,0.950362,-0.53108,-1.580834,-1.4536188,1.7573922,-0.49433577,-0.7314401,1.1672155,-1.1385196,-2.158114,0.17112812,-2.2278225,-1.4481922,0.2243135,0.3779189,-0.43470436,1.5077934,-1.9673231,-3.6663303,-0.32659,-3.5298967,1.0,0.6,0.55,3.0,CH_Sav_50
-2.1232312,0.07963407,1.9075211,0.81630194,0.85747737,3.310199,-0.5622374,-1.3217468,-0.2546838,-0.9491593,2.440025,-1.1411492,-9.429763,5.3839216,-4.020184,0.9774694,-1.5141242,-4.4706855,-0.79639876,-1.1259882,2.5757322,1.7147989,-2.6042657,-2.3959913,-2.2816644,3.5275936,3.0798745,3.3594012,-1.2418423,3.0269608,-1.3683591,0.32391143,1.0,1.3054945,0.6526316,8,CH_Lvav_28,2.2988584,0.6700312,-0.597926,-2.4052525,-1.43007,-2.355539,-1.5258,-0.29204774,1.2442892,0.52518713,0.5819145,1.4925776,1.3955984,-0.9625977,-0.57357436,3.4850335,-1.8623841,0.75304425,2.4471111,-1.2336502,-2.4300294,1.74881,-3.4695892,-2.5656915,0.3938346,1.5265293,-1.0885377,0.68598694,-0.7833842,-0.70129037,0.40110713,-1.8178604,1.0,1.1575092,0.8,8.0,C_Sav_23,1.4918575,2.0546994,-1.8011911,-1.771309,-1.3624997,-1.7569817,-0.01787889,-0.3698697,2.2212868,0.77484596,1.0559078,1.7166729,-0.2696929,-1.6884882,-1.4072516,1.3952761,-0.81442285,-1.1331825,1.04416,-1.6608393,-2.515341,0.5204171,-2.1118493,-0.66000557,0.44908416,0.88159037,-0.76933813,1.5110468,-2.1130137,-3.302319,-0.48014647,-2.958181,1.0,1.2161616,0.6,6.0,CH_Sav_50
0.2585559,1.0470172,-1.7090819,2.7885025,-0.36130202,8.371618,-0.4165618,-3.6168115,-0.6927451,1.4143654,-2.5453224,3.2764535,-4.250192,-4.5624423,-1.6389633,2.5385153,0.26287317,-3.926569,0.2862233,-0.44625685,-1.946159,4.75302,3.5615563,1.1545423,-1.1258763,3.071152,-1.960851,0.67377,3.1191983,-7.0753365,-0.1931858,-0.60816586,1.0,1.4755555,0.78909093,14,CH_Lvav_28,-2.4415329,0.06590116,0.5301392,-1.9771891,-1.3965377,-2.7554505,-0.25376037,0.14955235,3.5721195,1.1404092,-1.5781273,0.7508956,-0.028937697,0.22930206,-0.691957,3.0837855,-0.35720676,1.4960905,1.6501592,-0.3341173,-1.7357179,1.4649017,-3.4573238,-4.564207,-0.17907667,1.0301049,0.20302725,2.1644938,-1.5727353,-0.71464044,2.1599953,-2.4981673,1.0,2.1407293e-16,1.0,3.0,C_Sav_23,1.0953302,1.9933048,-1.4845756,-1.7305238,-1.7343152,-2.457622,0.38811404,-0.46466053,2.750666,0.8862012,0.5930505,1.0726551,-0.4646188,-1.5790725,-1.4290264,1.6482484,-0.56396013,-0.9590709,1.178325,-1.3033032,-2.2390862,0.2961182,-2.154559,-1.2765071,0.31265414,0.47111538,-0.5463887,1.5137119,-1.9676269,-3.5709772,-0.34535724,-3.477672,1.0,0.8761905,0.72,4.0,CH_Sav_50
-5.7549,4.690551,0.95044935,-0.32808778,-3.747958,-0.40238988,0.7042316,2.790993,-6.355057,-1.1068761,-3.6697679,3.8380373,4.4729652,-3.844552,-0.21172765,0.9813375,0.19344866,4.683101,1.7189256,-1.2766289,0.08046806,1.5675952,-3.563785,-4.926545,-1.3104812,2.140533,-2.7892735,6.881275,-0.009720504,6.816991,1.1711206,-5.0167127,1.0,1.3480393,0.7909091,9,CH_Lvav_28,0.5455776,1.4876574,-0.7509366,-2.41179,0.9471756,1.9338185,-3.2938986,0.25448394,-1.282606,-1.1013968,0.9914958,3.1623073,1.795703,-0.5779934,-0.45261496,3.333753,-2.8203819,0.31967092,1.0847653,0.9284674,-1.7146753,2.1588862,-2.683088,-2.51996,-1.1046392,1.7606242,-2.6614923,1.4862506,0.08439028,2.8449101,-3.1823523,-1.4637268,0.11,1.3027921,0.7190476,14.0,C_Sav_23,0.8837673,1.7856832,-1.4568574,-1.0855391,-0.31792653,-0.7244714,-1.3207031,-0.22473514,0.9688098,0.1850416,1.7381884,3.43715,0.2685894,-1.0240846,-0.64372206,1.0338628,-1.2860465,-1.1957216,1.388909,-1.229824,-2.9555402,1.7387617,-1.9126726,-1.5770259,0.6705265,1.4311738,-1.6318086,1.2242199,-2.3075178,-0.95469904,-2.0300784,-1.8256223,1.0,1.3443413,0.75384617,10.0,CH_Sav_50
-1.1197914,0.7651869,4.676398,-2.7671933,-0.62131375,3.4630432,0.42598122,-2.9161563,0.8924952,-0.18231893,0.42565894,1.8608637,-0.6805124,3.1401932,-4.97428,0.72489053,-0.3485918,-1.3045965,-0.5222578,1.6839002,-0.5869657,-1.4114377,1.5738841,-1.3312366,0.112299085,-0.28868,0.0960542,1.6655614,-5.576638,0.7232555,-3.3321755,2.4958684,0.8125,1.1919192,0.74,6,CH_Lvav_28,2.8020797,0.8955685,-0.7733807,-2.2027993,-1.0670096,-1.5942141,-2.201472,-0.3273517,0.14123356,-0.20583719,1.1665207,1.9404233,1.6655549,-1.257529,-0.4669851,3.483883,-2.1077774,0.58229816,2.819419,-0.98774415,-2.0718393,1.922678,-3.9781156,-2.1790905,0.19816089,2.0866313,-1.4506603,0.5428751,-0.3037575,0.09468481,-0.80382353,-1.6444721,1.0,1.1970588,0.84444445,9.0,C_Sav_23,0.339409,1.8835194,-1.0397614,-1.731121,-2.0529826,-2.8414936,0.6694662,-0.7002783,3.0839458,1.0722004,0.14627777,0.7853799,-0.60837877,-1.6265073,-1.2798513,1.7077899,-0.19601595,-0.38594776,1.1699201,-1.0239747,-2.1331048,0.32087386,-2.3255222,-1.8413929,0.17874157,0.4637012,-0.41559273,1.6268988,-1.779733,-3.7040484,-0.1995961,-3.6751206,1.0,-0.6666667,0.8,2.0,CH_Sav_50
-1.8172717,0.65161836,-0.4405473,-2.74362,4.2118406,-3.4196389,-2.7944083,0.8141551,5.1394725,1.5459721,-3.4061155,1.4659612,-3.2893257,-3.2586253,1.4745041,4.4280915,-2.0944064,2.8694277,-4.33922,2.1345515,-2.8326652,1.756794,0.6391691,-1.4124532,-4.737272,-3.7528884,1.1742835,4.1853147,-3.868925,1.360956,0.32714826,-1.3422521,1.0,1.3886693,0.78571427,12,CH_Lvav_28,0.67943484,0.25605422,-0.54970765,-2.2102246,-1.7266661,-2.7323854,-1.1012038,-0.46859205,2.1543615,0.6070804,-0.082096085,1.0292004,1.1827335,-0.6087373,-0.74986964,3.401813,-1.1323979,0.58441854,2.22148,-1.2180945,-2.267755,1.4661772,-3.3695195,-3.242744,0.4218824,1.2981906,-0.649191,1.1772851,-1.0677066,-1.0712471,1.2430127,-2.2149503,1.0,1.062937,0.7818182,7.0,C_Sav_23,1.2577617,2.0411196,-1.6897418,-1.8028103,-1.5494426,-2.1509898,0.19816469,-0.44226098,2.4847503,0.9372891,0.7901251,1.327545,-0.3819316,-1.6967628,-1.5173781,1.5114138,-0.6814677,-0.93918157,1.056544,-1.4577416,-2.3501089,0.23352018,-2.108152,-0.8777447,0.32867765,0.595064,-0.57301754,1.5065249,-2.0402565,-3.620821,-0.38246304,-3.2227924,1.0,1.0952381,0.625,5.0,CH_Sav_50
-1.5476165,-0.2640133,-0.1489988,-6.254133,6.517887,3.614877,-2.2657158,5.889038,3.5246007,-0.8075208,-3.9532444,2.5493352,1.924416,-2.315661,-1.2539515,1.5014527,-3.5501533,0.6781343,-0.79231524,2.1555738,-1.4574265,1.8816893,-2.2544947,-1.1868556,-1.1775967,0.22641148,1.915304,3.20231,-2.3012,-0.8106554,1.1355708,0.056657,1.0,0.0,1.0,1,CH_Lvav_28,0.7176532,1.3706197,-0.82270294,-2.4225802,0.76476747,1.6707625,-3.2421124,0.17216206,-1.263517,-1.1134787,0.96499777,3.0334208,1.7740918,-0.6969955,-0.39862552,3.3483558,-2.6628644,0.4038298,1.1630782,0.79566884,-1.746198,2.113637,-2.775524,-2.4264255,-1.0502886,1.7270799,-2.57931,1.4329872,0.022316158,2.7191143,-3.0517328,-1.4184952,0.29927006,1.2872463,0.77894735,13.0,C_Sav_23,-0.36427426,2.1594205,-0.88762146,-1.0171243,1.0150073,1.1839328,-2.0374825,-0.11063838,0.37859064,-0.22493684,2.1005585,3.8214822,0.9655626,-0.54525506,-0.2832695,0.90703946,-2.0613778,-0.6817233,1.4483963,-0.2177221,-2.3744025,1.535007,-1.35157,-2.271082,0.267295,1.5826917,-1.9892507,1.0597221,-1.5801125,0.5040774,-3.2898524,-1.6104615,1.0,1.4266666,0.7911111,13.0,CH_Sav_50
