dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,activity,growth,symmetry,timepoint,seed_key
-0.6372517,0.56238914,1.1675322,-0.4727157,1.7445991,-1.5051234,-0.87215626,0.68941784,-1.30121,0.5951232,1.6456962,1.8612028,0.8589158,-0.64660335,1.4034348,0.26295954,-0.76032853,-1.1726203,1.5235331,1.0056496,-0.020856626,0.4608268,0.48079562,-0.7279123,1.791755,2.3234954,-0.30307212,2.259097,-0.11092324,-1.4494479,-0.56478596,2.409694,0.84,1.1383458,0.53846157,11,CH_Savav_45
1.2827251,-0.05275049,-0.18846153,0.059288323,-1.7342975,-0.2034754,0.8138876,0.37207308,-0.70334995,-0.35839266,-1.7324307,-2.023162,1.5089961,-0.2981407,1.2476612,0.25487906,0.3687744,-0.7055667,0.6029174,0.6960259,-0.97749203,1.3847048,-0.25700438,-0.056541584,1.9496154,1.0494646,-0.6701845,-0.2927003,-1.1813482,-0.64865017,-1.4649069,0.7682519,1.0,1.1904762,0.6857143,5,CH_Savav_45
-0.061701484,1.2073228,-0.054020464,-0.1255984,0.66620046,0.00081181526,-0.8945581,0.708478,0.17640531,-0.85956866,1.9836545,1.4493802,-1.2077307,0.697282,1.6168095,1.052575,0.17834148,-0.111269414,-1.2138771,0.36907285,-0.96771616,0.3209989,0.38983384,0.3809884,-0.51313597,0.59504503,-0.83694285,-0.42326826,2.8436952,-0.1816132,0.93157804,-1.4109122,1.0,0.8,0.56666666,4,CH_Savav_45
-0.58932436,-0.2431131,0.017673582,-0.53452563,0.6985149,0.1039771,0.15202689,-0.42605993,2.1819572,-2.0507793,-0.9737025,0.21910025,0.77595586,-1.3064712,1.9889852,0.107065976,-0.06618835,0.84791005,-0.23473205,-0.11605795,-0.35066077,-0.30334064,0.22568604,0.30512607,0.6103822,1.1066175,1.5142066,0.5595843,0.9197407,-1.1637913,0.07832886,-0.3270942,1.0,0.0,1.0,1,CH_Savav_45
0.15966468,-1.5414804,-1.1504201,0.24912268,-0.034392193,-0.9981631,0.37853807,0.5949849,-1.1841356,0.7866441,-1.6041633,0.053090535,0.6139682,0.59485686,0.72155154,-0.23560718,1.296848,-2.160485,0.7948219,0.7473882,-0.48140898,0.5224255,-2.2490406,-1.0881984,-1.4156415,-0.08413395,-1.5719023,-2.318791,2.2489004,0.00065941364,-0.9939619,2.1161416,1.0,1.2282828,0.54545456,6,CH_Savav_45
0.44956338,1.8198433,-0.4147449,0.6906749,-0.02225706,-0.043774813,1.4572787,0.98094195,-1.9169794,-0.1322599,-0.51400506,-0.52140146,-0.3522532,1.1124215,0.68883747,1.1442826,-0.37014034,0.15668723,-0.80660945,1.8133036,-0.9992736,1.1373901,0.5237965,0.6920578,1.2612098,-0.24705881,-0.17470148,-0.6022656,-1.3102701,-2.0433104,-0.29623282,2.0662487,1.0,1.159596,0.6363636,6,CH_Lvav_10
1.9453132,-0.18932235,0.20911282,0.4612494,-1.9639333,0.58122164,-0.9121969,1.274722,-1.0145795,-0.96604663,1.6704501,-0.6608949,-0.18888652,0.28415447,-1.8995107,-1.2690121,0.23178592,-0.99592507,1.054623,-1.4204676,0.08437114,0.4173681,0.060692906,1.0548816,1.1308315,0.23652023,0.052309602,-0.030536324,-1.6276739,1.8607512,-1.1294756,-1.429565,1.0,1.3571428,0.53333336,5,CH_Lvav_10
0.89981997,1.450703,1.1665819,-0.24545784,1.4519197,0.13181639,-0.4443475,-1.4320263,-1.0958012,1.4026593,-0.42839345,0.72763646,0.83819544,-0.06793595,1.6215409,0.26259357,0.6673872,3.2120566,1.2618618,-0.9308564,2.175773,1.2864656,-0.15981579,-0.93804646,2.6465285,0.468482,-0.6974505,0.6445884,0.08138101,-1.0521526,-0.7221246,1.3385675,1.0,1.1002331,0.56,7,CH_Lvav_10
-0.16458145,-1.2094233,-0.1657033,1.1010013,0.6588881,-0.99348557,0.054816872,1.2127078,0.12528189,-0.2575103,-1.5331059,1.1997167,0.108972505,0.73635924,-0.6617414,-0.31789303,-0.29450577,0.48129562,2.3007076,-0.6874465,-0.5821905,0.4306702,-2.0001216,0.9760519,-2.5681837,-0.25088114,-0.84546584,-0.7850727,0.82205164,0.8712374,-0.23032789,1.7621458,0.9047619,1.106087,0.47142857,13,CH_Lvav_10
-0.46770722,0.9503606,0.103894606,-0.50549036,2.2485256,0.33176583,-0.4289301,0.01610893,-2.1739142,2.1012304,1.5721507,1.4625393,-0.42059875,0.3488095,-0.4304549,-0.12741758,0.20424959,-0.35049522,0.23832886,0.1433452,1.6808039,0.47918782,0.3279406,1.7945529,1.9014642,-0.3730983,0.32604182,-0.48258233,-1.329106,-1.4685916,0.17724074,1.9014926,0.9512195,1.118679,0.552,10,CH_Lvav_10
0.84361,0.3383717,0.015096664,-0.31917506,-0.7530036,0.36610556,-0.24614213,0.097545,-2.7730577,0.4010278,-1.171066,-0.016085997,0.20795062,1.3071655,-0.034989458,-0.7220339,0.51132846,-0.62871635,0.8883799,1.1801012,0.022253528,1.36438,-1.6102962,-0.5974065,0.8624494,-0.36089382,-0.97628385,-0.8652551,-0.24346991,-1.085494,-0.35957748,2.1646864,1.0,1.1032968,0.57894737,8,CH_Lvav_10
1.3031714,-1.6868198,1.1998682,0.87093556,-0.8249026,-0.5992048,1.5814736,0.60861456,-0.88944995,0.5656676,-2.3398886,-0.9204847,-0.17176303,0.17592788,-0.24198595,0.6549454,-0.034966,0.6987969,-1.0397292,-1.7130373,-2.027325,-0.9558914,0.033439964,1.903807,-0.3249268,-1.1867117,1.9321225,-0.38673794,-1.1069095,1.7299014,-1.5235473,-0.87907064,0.90123457,1.1074644,0.47346938,14,CH_Lvav_10
0.71962994,-1.7680753,-0.9720782,-0.66092104,-1.009226,1.2236753,-1.6816487,0.46822852,0.4321233,-0.63242006,0.32375193,-1.2028812,-0.014061183,-0.99495155,1.3092418,0.901724,-0.114592165,-1.1428632,0.83089715,0.52480745,-1.0974162,0.33933792,0.23867568,1.0339833,0.10026126,0.44597214,-2.8034678,0.09232223,2.020569,-0.3911244,-0.06290898,0.13473108,0.9259259,1.124812,0.52666664,11,CH_Lvav_10
-0.18253046,-0.96100336,1.3049479,0.23531258,1.0725466,-0.25817403,0.8251878,-0.27201372,-0.23394847,-0.03216651,-0.77592075,0.5275232,-0.025643155,-1.6926649,1.8867016,1.155831,1.150813,2.1117463,-0.5289412,-0.74960625,0.11576338,1.0087707,0.43198052,-0.35857874,2.5432336,1.8110939,1.480746,-1.8487084,1.133045,-1.3656536,-0.55990046,1.2382554,1.0,1.3333334,0.6,2,CH_Lvav_10
-0.5314099,1.8025358,-0.8678537,-0.74112827,-0.15242958,1.0782357,0.23489393,-0.15473938,0.42575735,-0.05902171,1.4781146,0.019611083,-1.0788616,0.073865965,0.61995435,1.7283019,-0.15992431,1.7838572,-1.8008608,1.3215731,-0.59200865,-0.7079685,0.803067,-0.16604038,0.83923626,0.30730176,-0.67228186,0.96488583,0.51032054,-1.1078866,1.438852,-0.7026264,1.0,1.4,0.56,3,CH_Lvav_10
1.085861,-0.75662386,0.83568656,0.63576484,0.4651312,-0.93855995,0.724352,-0.09163554,0.67475736,-1.5868207,0.23631185,-1.8734521,-1.2323397,-1.0297158,-0.96333194,2.211436,-0.2912045,0.14196122,-1.576361,0.71258444,-3.0720549,-0.12457022,0.013771936,-0.6360489,0.0213818,0.5240622,0.4900212,-0.49234304,-1.8257419,-0.8360472,-0.47013268,1.183799,0.8666667,1.1107843,0.53913045,9,CH_Lvav_10
-0.38878757,0.95826596,-0.28034952,0.8823077,-2.2061794,0.8121787,-1.3672037,0.39788628,0.5114514,1.277019,0.012658171,0.704756,1.2040818,0.77764964,1.221481,-1.0786536,0.5799567,-1.6329086,0.87337375,0.42697978,1.0285076,-0.32934934,0.17075792,0.24972324,-0.04970052,1.1355178,-1.4021542,-0.98904634,2.4889057,0.29058173,-0.076448545,-2.0194998,1.0,0.0,1.0,1,CH_Lvav_10
0.47663218,-1.7043784,1.1172022,-2.170174,-0.5772562,0.60370886,1.8392136,-0.14912307,0.7129834,0.172079,-0.62503415,-1.5116516,-1.2293061,-1.0954016,-0.044676006,0.7437335,1.2299578,-1.2450004,-0.41931975,0.3022862,-1.7094104,-0.3338305,0.4175976,1.2755902,-0.0053638816,-0.51322794,0.2629468,0.23775348,-0.27138126,-0.41571862,0.68828714,-0.081867225,0.8596491,1.1074722,0.4918919,12,CH_Lvav_10
-0.35400048,0.9388767,1.2126732,0.10436404,0.19516729,-0.8952813,0.5749906,0.11146001,-1.4557904,-0.93817866,-0.5919364,0.58825916,1.9113349,1.6357995,0.11863325,-0.5901062,-1.187339,0.3025272,0.55781114,1.3300496,0.3874778,0.5947757,-1.0687735,-0.035395622,-1.588414,-1.7134508,1.0216975,-0.44460273,-1.856536,0.5723021,0.2236948,-0.21879093,0.0,0.0,0.0,0,CH_Lvav_10
-0.432942,0.3136328,-0.7464521,0.968669,-0.18010016,-0.698208,1.4019166,-0.7404078,1.9319971,0.29649845,-1.8865035,-1.5890698,2.7049952,0.33198303,0.40896553,-0.48960668,-2.5092597,-0.15428118,0.076832645,0.26534373,1.253485,0.21149427,0.2328763,1.1299597,-2.2868066,-1.1371893,0.44762528,-0.993143,-1.2530252,-0.8699053,-0.5847794,-0.61459064,1.0,1.5238096,0.5714286,4,CH_Lvav_10
0.9462264,-2.0867212,-0.030269574,-0.5608022,0.2598038,-0.49663475,-0.16055602,0.5585772,-1.9193951,-0.03429702,0.30083308,0.6269821,1.1626697,-0.6061711,-0.25717804,-1.0798277,0.56212676,-0.08170107,2.1528425,-0.85250723,-0.17163219,-1.5732895,0.4788698,1.2782956,1.0151223,0.04600974,1.9079231,2.2095418,-1.5788715,1.411611,-1.0010641,-0.2272988,1.0,1.3553885,0.6451613,11,CH_Sav_72
0.7110691,-1.674947,-1.5248423,0.16424748,0.004535593,0.030710012,0.52733743,-0.4857394,0.25422248,-1.3405908,-1.3627462,0.31389663,1.1301869,-0.73931926,1.3144212,0.7586154,0.6188673,-0.6898321,1.767716,-0.45699167,-1.1209444,0.61337966,-0.008118629,-0.59849817,-0.15685064,0.53050894,-0.12376833,0.0036086217,0.4294459,-0.0006618388,-1.1000144,0.48908857,1.0,1.3333334,0.6,2,CH_Sav_72
