dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,activity,growth,symmetry,timepoint,seed_key
1.2866188,0.6134081,0.2589016,0.43447736,1.3021276,1.9529426,0.18876857,0.48649004,1.2614077,-2.4069855,0.65649223,-0.3923656,0.4244376,-1.0314978,0.79530835,1.3915842,-0.09002663,0.49949116,-0.63021517,0.09940723,0.8903891,1.7512724,-2.42951,-2.5431452,1.4336971,1.166918,0.6394275,-1.0277958,0.1222806,0.06995772,-0.13675252,0.40672407,1.0,1.15,0.55,9,CH_Savav_45
0.10859975,-0.42931858,1.0478154,-2.1225758,0.29662704,-0.5596399,1.3307477,-1.0810308,1.0009768,1.0468152,-0.33758783,0.6011843,-0.23943032,0.24337386,-0.2123408,0.0036139786,2.467932,0.808976,1.2139812,1.5149645,0.80153215,-0.6094856,1.3169982,-1.9644396,-1.1506569,0.6130432,-0.3126598,1.6152208,-1.0073681,-1.3218883,0.07298021,0.29786956,0.14606741,1.1052136,0.48,12,CH_Savav_45
1.4450963,-0.5155305,1.1281979,-1.1392815,-0.04849931,0.8350966,2.2244515,0.40224487,0.8717464,1.0985695,0.7189009,-0.09957695,0.5420325,0.5088963,1.3665963,-1.633981,2.243627,0.75406045,1.6364573,0.41603994,-1.7405114,1.0204519,0.17096646,-1.934969,0.16201523,1.5511293,-1.5594534,0.3938402,-0.778859,-1.7714038,1.4167012,0.532881,1.0,-0.6666667,0.8,2,CH_Savav_45
-0.57412165,-0.85927373,-2.9284313,0.11389828,-0.06910185,-0.9309677,0.4754238,-1.6872786,0.724028,0.9111807,1.9860636,-0.32512078,0.16623563,-0.025514767,-0.8501971,-0.8119196,-0.3479918,0.41187242,-0.3726688,0.4646526,-1.5866014,0.9897423,0.5807476,1.3234547,0.6013418,-1.1169205,-0.9717571,-0.30247825,0.1912136,-1.4929483,0.06739423,0.4232324,0.89041096,0.96866095,0.36,14,CH_Savav_45
1.3756796,0.60459554,2.738116,-0.56374663,-0.44036072,0.18195975,0.039269567,-0.07018667,-0.65179384,-0.6182059,0.054374352,-0.8721589,-0.80154437,-0.09644075,-0.12412721,0.037510395,-0.13521203,-1.0798409,-0.3178726,-1.1768417,0.42723837,-0.36829,-0.07304616,-0.6606319,-1.2450558,0.29013938,0.5427963,-0.1064111,-0.6448978,0.834771,0.12719068,0.81903267,0.0,0.0,0.0,0,CH_Savav_45
0.32590222,0.82304084,0.9285427,1.6921607,-1.7149785,0.059851527,-0.13351502,-0.70119923,-0.3629519,0.23387271,1.3451035,0.129445,0.80735505,-0.02264778,-0.08393766,-0.36692742,-0.57102823,0.8885709,0.07608366,-0.22229359,1.227411,0.1696973,-1.1881881,1.1653605,0.29816994,-2.0510638,-0.4325329,-1.7552856,0.53124577,-0.6915366,-0.44761604,0.35586974,0.6888889,1.1575092,0.64,8,CH_Savav_45
1.0811136,0.391075,-0.6602248,0.13621196,1.3070333,0.70073414,0.9079211,0.32844025,2.1841311,-0.2693854,-0.07149641,-1.0120802,0.5582487,-2.2518556,1.4188119,0.54877615,-0.5228267,-0.79178435,-1.6852242,0.9741973,-0.89171267,0.43701544,2.1333768,-2.9830654,0.32571885,1.3344928,0.97945136,0.07305153,1.7120216,-0.39169204,0.9353101,0.62854606,0.8947368,1.1468868,0.5478261,10,CH_Savav_45
0.55751246,-0.94955957,-0.4743816,1.4531695,-0.779418,-0.8178601,1.6456935,-1.3705972,-0.8523017,1.8937736,0.19348624,0.2533557,0.59184635,1.3474548,0.7667133,-0.8878486,-1.1279418,1.1689123,-0.27914074,0.47015566,0.28943583,0.8616758,0.044485863,1.7723511,0.4992931,0.7491802,-0.8012581,-1.0331304,0.52626747,0.0058123935,2.1379402,-1.4682509,1.0,0.4,0.5,3,CH_Savav_45
-0.21936011,-0.80224824,-2.5652359,-1.1550103,-0.11753475,-0.30229017,0.39618245,-1.2847316,0.10515182,-0.15825008,1.511875,-0.5546817,0.3723357,0.92827874,-0.45608985,0.6695485,-0.5287743,0.7100309,-1.0989043,0.120437145,0.14175932,1.282095,-1.1201061,0.77112633,0.4341944,0.47505397,-0.49250212,-0.0147508755,-0.59295493,0.08149435,-0.045383245,0.0039930046,0.8933333,1.0475363,0.30769232,13,CH_Savav_45
-1.3261441,-1.248503,-2.3009546,0.22785231,0.11469035,-0.55158997,-0.17979959,0.11390467,0.27284792,0.31580985,-1.1653081,0.50261974,-0.9755968,0.69875145,-0.576856,1.1398803,0.6336582,-1.8589228,1.0092465,0.43437383,-0.2940927,-0.3722938,0.9556864,2.7479053,-1.0896575,0.56248397,0.00963464,1.1707879,-0.6704798,0.5909656,0.34880286,-1.7935643,1.0,1.2494173,0.65,7,CH_Savav_45
1.3466855,0.75678396,-0.248099,0.0817452,0.26581284,1.7598569,0.7256563,2.5152068,0.71346086,-0.28191996,0.46813583,-0.36801147,0.6151191,0.20050456,1.8809667,-0.55735826,-0.6500787,-0.24635914,-1.8973503,-0.8589573,1.3602914,0.32413545,1.0042844,-2.3660073,1.6464266,1.2031722,-0.07187724,-0.091159984,0.83347726,-0.014325321,0.7239215,0.19656487,0.84,1.1383458,0.53846157,11,CH_Savav_45
1.4822187,0.929363,-0.2158452,0.1059665,0.033817295,1.8055491,0.4133866,2.3909578,0.53238857,-0.42218655,-0.011508882,-0.8059233,0.5188943,-0.08565609,1.6721996,-0.9458644,-0.4775074,0.20055568,-1.892781,-0.8060812,-2.1000938,0.48055315,1.1308463,-2.353014,1.7599734,1.2111714,0.055685673,0.1792813,1.0388266,-0.03457143,0.78445446,0.19227171,1.0,1.1904762,0.6857143,5,CH_Savav_45
-1.6113176,0.6270879,-1.5413111,-1.3332281,-0.35141394,-1.4876589,-1.6787248,0.3721701,-1.1584207,-0.90501976,0.7081741,1.1827478,0.25310117,-0.12233928,-0.1760832,0.9824437,-0.9411229,-0.2618557,-1.4060016,-0.6015117,0.94531727,-1.1324363,1.034237,0.39553362,-0.011764273,-0.9150346,0.6348313,-0.79189706,-0.050408334,0.09127125,-1.4003447,-0.37013003,1.0,0.8,0.56666666,4,CH_Savav_45
-0.12300734,0.8675456,1.2726064,1.6718469,0.531108,1.2098087,-0.5447529,1.4296716,-0.108301535,-1.2787046,-1.2447789,-0.7278148,-0.7041064,-0.8013316,-0.8421666,0.7826674,-0.9800082,-1.3345693,-1.9114099,-0.5049092,-0.042103805,-0.5493022,0.07105972,-1.4467089,0.61738926,0.48004055,1.3511481,0.58411765,1.203911,1.2532752,0.8114072,-0.019164175,1.0,0.0,1.0,1,CH_Savav_45
0.7351872,0.36592913,1.8107946,0.41213322,0.77115184,0.83950734,0.64791095,0.107910305,0.60662055,0.25722265,-0.727519,-0.75565344,0.6787816,-0.8148725,0.67702496,-1.4310282,0.3651371,-0.65913683,0.5755179,1.269922,-0.966329,1.106586,-1.1242087,-2.1760528,0.5367167,2.0691094,-0.34131446,-0.017786749,0.0036581978,-0.79482615,0.71092737,1.0295825,1.0,1.2282828,0.54545456,6,CH_Savav_45
0.90356874,-0.9921313,-2.8561516,-0.73823607,0.6099925,0.49629718,0.33419594,0.32313827,1.1157765,-0.07974076,1.4175276,-0.032062985,-0.009480059,2.0276768,-0.44105285,1.2958202,-0.21687838,-0.5903307,-2.5672693,-1.2464342,-1.8637605,1.2895002,1.7319653,-0.32986036,0.37310606,-0.4448592,-0.29013655,1.196939,1.5102587,0.89707905,-0.48695627,-1.0318394,1.0,1.159596,0.6363636,6,CH_Lvav_10
0.2612863,1.3383934,2.3958144,1.0110207,-0.052968964,0.74295455,-0.41967264,0.26222408,-1.232949,-0.4942421,-0.0033142865,-0.76436675,0.87387824,-0.5703095,-0.0051602125,-1.2292187,-0.55234,-1.4985855,0.43039247,-0.35484892,-0.21461788,0.422776,-1.790492,-1.243839,0.61005425,0.76624507,-0.017970696,-0.9264239,0.27827886,-0.08385439,0.5468104,0.6015248,1.0,1.3571428,0.53333336,5,CH_Lvav_10
-2.0329394,0.6118183,-1.2491602,-0.35978383,-0.38805923,-0.06440307,-1.1732427,1.0968513,-0.9951048,0.63109076,-0.18345085,1.5190802,0.6268624,1.7712464,-0.8498391,-1.3964112,-0.66951686,-2.1780262,-1.1796149,0.89793336,-0.44674245,-0.49493173,-0.518558,-0.4532041,1.5427057,0.020753063,0.12353267,-0.03739222,-0.1533035,-0.15655862,-0.8823801,-0.33497104,1.0,1.1002331,0.56,7,CH_Lvav_10
-0.9869907,-1.411062,-1.4179968,-0.16421181,0.6441559,-0.20454419,-1.2784327,-0.21101436,0.32064426,0.93599886,-1.1036639,-1.2994919,-0.6438887,0.24150464,-1.9300123,0.9087862,0.048395,-0.43253785,-0.7096144,0.7825465,0.15466833,0.23938668,1.302201,1.0306934,-0.7488336,-0.80196345,1.3459305,1.8679717,0.3213788,1.6835546,0.13371566,0.25906056,0.9047619,1.106087,0.47142857,13,CH_Lvav_10
-1.4328877,0.3271265,-1.1435568,-1.9143283,0.16038463,0.483346,-2.536992,1.6068141,-0.08133667,-0.08442959,0.16404709,-0.82781637,-0.41136187,-0.73044854,-0.98538786,-1.3947375,0.45881182,-0.9743886,-0.33132362,0.37416208,-0.5529517,-0.13645941,-0.13799888,-1.4451355,1.0143341,0.055801347,0.58177567,0.32984412,-0.18647659,0.7265111,-0.5909742,1.5141302,0.9512195,1.118679,0.552,10,CH_Lvav_10
1.8945149,0.3214105,0.70782536,2.3451667,-1.4427462,-0.57047707,1.7963676,-0.119669944,0.5092002,0.8226335,0.06023124,1.011331,0.7970767,1.8340214,0.64417964,0.81495637,-1.171252,-0.42716697,-1.4958416,-0.43965173,2.118793,0.8496664,0.2624743,0.98526984,0.64186716,-1.3245089,-0.33665904,-0.64115596,0.97697985,0.13749021,-0.84372807,-0.7710703,1.0,1.1032968,0.57894737,8,CH_Lvav_10
-1.3177546,-0.5467219,-0.8345866,-1.6136379,0.7309186,-1.2339226,-1.7679383,-0.22443679,-1.9390969,0.88069993,-0.34232888,-0.3797104,-0.34809935,-0.5884241,-0.000706017,-1.2824792,-0.3796035,1.3163072,1.1784301,-1.1974509,-0.8407687,-0.8249274,0.19801095,2.0533915,-0.5571375,-0.8937284,1.0741519,0.655009,-0.10955691,0.7640292,-1.0197207,0.3677096,0.90123457,1.1074644,0.47346938,14,CH_Lvav_10
-0.075871155,-0.25860518,-1.3150693,0.3429787,-0.3798483,0.3983105,-1.1514424,0.9489021,1.3618109,-0.17309186,-1.0146766,-1.298846,-0.47139564,-0.31049222,-0.23828916,-0.32489142,0.07000624,0.84157395,0.56241024,0.45411953,0.28561246,-0.1406211,0.31012368,1.5832607,0.44632593,-0.90233815,0.038702957,1.0249903,0.03421925,0.76710093,-0.50157386,1.3080167,0.9259259,1.124812,0.52666664,11,CH_Lvav_10
0.92268753,0.95923156,2.752406,-0.086956665,-1.494954,-1.3137248,1.1638882,-1.6186866,0.70733935,1.0027745,0.957309,-0.08116673,0.3027168,-0.353155,-0.46823046,1.0699605,0.56376576,0.18045864,-0.008299261,0.25991374,-0.81790495,-1.0721095,1.6190064,-1.3575974,-1.8466372,-2.38434,-0.06845701,-0.3059454,0.7151631,-0.8837867,-0.07221249,0.55640084,1.0,1.3333334,0.6,2,CH_Lvav_10
-1.2549771,0.006474875,1.3094411,-0.7188929,-0.5323103,-0.22475885,0.60919034,-0.17354493,-1.579018,0.7813911,0.42721096,0.48358545,0.6364938,1.2704191,-1.4966457,-2.3385866,0.21515039,1.1903516,0.21990915,0.77602756,-0.79459286,-0.50285333,-1.1003063,-1.1425316,0.88519377,0.9126826,-0.4519319,-0.21015427,-0.33367416,-0.45900193,1.3872423,-0.043090522,1.0,1.4,0.56,3,CH_Lvav_10
-1.3002752,0.23003364,-0.65023553,-1.2585224,0.8816259,0.20637935,-2.5626788,2.0945213,-1.6928627,-1.3250935,-0.37027854,0.27262604,-1.0120445,0.07711935,-0.58084697,-0.2444246,-1.0314914,0.5116807,-1.1587993,-2.1496437,-0.49295226,-1.2883981,0.30523473,0.038522176,0.538097,0.4986706,1.5433811,0.4404028,0.3252591,0.8988755,-1.1194692,-0.7586721,0.8666667,1.1107843,0.53913045,9,CH_Lvav_10
0.19377235,0.083530456,-1.2403246,-1.0010878,-3.0699677,0.21039195,-0.52650094,-0.30486333,0.1364536,0.5476446,0.4327278,1.7965372,0.72843695,1.5623038,-0.11721079,-0.02866318,0.62228686,-0.17018586,0.8448503,0.5755979,0.23687446,-0.5234927,-0.5840104,1.215339,0.5095832,-2.2562315,-1.6564351,-0.27915847,-0.8818844,-0.20857456,-0.45966974,0.15872851,1.0,0.0,1.0,1,CH_Lvav_10
0.31829828,1.4030806,1.3509593,0.69758683,0.3084857,-0.51120967,0.07355277,0.03105323,0.6490845,-0.7852659,-0.42323026,-0.16628915,0.94349515,-2.190349,0.60384005,0.13093013,-0.72531635,-0.8203896,-0.6174064,0.47794855,-0.9959234,-0.8757632,2.1418722,-1.3600495,-0.7325686,-0.58123624,0.97755414,-0.2746861,1.2637081,-0.45557523,-0.18490195,0.95947945,0.8596491,1.1074722,0.4918919,12,CH_Lvav_10
-0.03341213,-1.5100914,-1.0751805,-3.2266655,-1.215794,-0.5890731,-0.81019676,-1.299972,-0.39614606,0.69629055,0.41304272,-0.3193524,-1.57658,-1.0964857,-0.38275102,1.2162559,-0.1719661,0.38789582,0.49837032,1.2888739,2.3330631,-0.12169869,-0.38615203,-0.17271617,-1.3088133,-0.060194314,0.45485127,0.03381012,-0.7292857,-0.022564754,0.3284876,0.4342311,0.0,0.0,0.0,0,CH_Lvav_10
1.9290432,0.14235798,1.2685163,-0.060279787,-1.4902797,0.10492406,1.0189972,0.80245554,-0.05683904,0.41630456,0.31283242,0.10539985,0.4078794,1.9819957,0.87946373,-0.07180171,0.019777417,-1.2884625,-0.63121766,-2.9398737,1.0502509,0.08809489,1.3805187,1.2741356,-0.33623415,-1.0463595,-0.9868108,0.57671976,-0.7602528,0.94463617,-1.4942162,-0.11464654,1.0,1.5238096,0.5714286,4,CH_Lvav_10
1.2036371,-0.5196146,-0.6360999,0.87593496,0.62153745,-0.58545554,0.5384577,-0.034541212,-0.046240978,-0.61343354,0.28414062,-0.5135341,0.6605777,-0.07747209,1.2098068,1.2441425,-1.2960371,0.2979703,-0.76440996,-2.0930033,-1.3006101,0.5621223,1.8616154,1.6760883,-0.5837008,-0.3983158,0.43311524,0.6399131,0.80246043,1.088281,-0.88172096,-0.695782,1.0,1.3553885,0.6451613,11,CH_Sav_72
-0.16756754,0.074182086,2.2739432,-1.6373115,0.9292489,0.6895095,-0.92996806,1.355287,-0.084395334,-0.6153152,-0.5220032,0.3771646,-0.19314075,0.6049973,0.33872914,-1.5566543,2.7113721,0.5382413,2.629588,-1.2796134,-1.0801682,-0.58335966,-0.15349843,-0.6759224,-0.3728561,0.7906816,-0.30478773,1.2583114,-2.2766337,-0.61580384,-1.1571566,0.107743934,1.0,1.3333334,0.6,2,CH_Sav_72
-0.9401104,0.2667796,1.728297,-1.4787353,-0.13711292,-1.1120692,-1.6573709,1.2795845,-2.361027,0.58366436,0.54637176,0.55683017,-0.581606,-0.056686953,0.06541854,-1.4213077,-0.07365293,-1.2683423,0.31450307,-1.5181904,-0.80295426,-1.4255006,0.9878211,-0.22465146,-0.32925498,-0.29633248,0.8728003,-0.8678651,0.2469941,-1.0903146,-0.54095507,-0.19507091,1.0,1.3465086,0.6378378,12,CH_Sav_72
1.7800415,0.8498763,1.306339,1.1510073,-0.31736654,1.298773,1.5225174,1.5689387,0.70297074,-0.11287403,-1.2584418,0.9664634,0.50236225,1.3724529,1.6916115,0.49966556,-0.070366606,-0.95613945,-1.0061697,-0.09011923,0.23372814,0.019264491,1.6559805,-1.3611903,0.23166984,0.86822873,0.2243931,0.08477616,0.76498324,0.54988515,0.49374864,-1.5732448,1.0,1.2705883,0.68333334,9,CH_Sav_72
-0.6529808,-0.1331156,-0.14768082,-3.6273403,-0.4331026,-0.57356226,-1.318021,-0.23304412,-1.6816572,0.36800763,1.1097713,0.52474,-0.41324404,-0.8884965,0.273526,-0.5512125,0.19951242,0.3192611,0.3901942,-0.78548366,-0.64945453,-1.5956247,0.35550624,-1.1960945,-1.0424719,0.44084394,0.29386047,-1.3537599,-0.4334199,-0.5728742,-0.28150022,-0.4581459,1.0,1.1666666,0.62222224,5,CH_Sav_72
2.3068323,-0.44425732,1.7085648,-1.3572361,1.2577018,0.836957,1.1797541,-0.073433444,-1.1187754,-0.94007456,0.00073602796,-0.5680326,0.123881266,0.13836932,1.7623267,0.854058,-0.07726088,-1.9346423,-0.17703176,-1.5979315,-0.20007679,1.5317019,-1.628052,-1.7738234,-0.4110855,2.3634067,0.93717223,-0.19323726,-0.1913281,0.6643957,-0.5344144,-0.57316655,0.0,0.0,0.0,0,CH_Sav_72
1.9213606,1.1708739,0.7402139,-0.6693913,-1.7244728,0.7164115,1.5067166,0.8034804,0.15702666,0.5794585,1.078,1.049279,1.309575,2.5426698,1.0305802,-0.13073981,-0.4594899,0.6036201,-2.499937,-1.2175701,0.58738494,0.5294131,0.44275227,-1.86413,0.53108287,-0.54091144,-0.8570955,0.28285256,0.21946277,-0.42432466,-0.21404275,0.308038,1.0,1.2351649,0.64,8,CH_Sav_72
-0.91842884,0.32439992,1.7204804,-0.5931927,0.39491802,0.44499677,-0.3954082,1.0080583,-0.5889176,-0.24079281,-0.82826173,0.21134993,0.25062552,-0.42871556,-0.16063264,-0.9569578,0.41108927,-0.8409895,1.0229306,0.36895925,-0.36383206,-1.1603289,-0.6491307,-1.8217101,0.16994351,1.4541533,-0.030948311,0.061028063,-0.59004176,-0.60858333,0.9220463,0.2912727,1.0,1.3128206,0.6425532,14,CH_Sav_72
-0.029938549,0.9984055,0.13548744,-0.49582458,-1.254692,0.1696639,0.2931078,-0.122694135,-0.4217342,-0.60289216,1.1170356,1.5575594,0.23250814,0.7692494,-0.12122556,-0.94324774,1.3426493,0.5514375,2.125534,0.20213959,0.7643665,0.3031767,-2.2342763,0.17988117,0.93649757,-0.870399,-1.8576162,-1.4252378,-0.81739664,-1.5559397,0.25440732,-0.63227206,1.0,1.1398602,0.6117647,7,CH_Sav_72
0.6908873,0.77746886,2.33754,-0.5121197,-0.5074772,-1.0653776,-0.32206744,-0.16969356,-1.7688575,-0.36634436,-0.16559444,0.21758676,-0.6451583,-0.3538802,0.7060498,-0.1437847,-0.75921893,-1.4333248,-0.32884556,-1.6471305,0.9056002,-1.4980571,0.9048976,0.088222325,-0.64379764,-0.27055538,0.8151011,-0.5387836,0.31103665,0.0075995773,-0.32353073,-0.7174293,1.0,1.2,0.52,3,CH_Sav_72
-0.94451785,0.26311904,-2.0491111,0.466535,-0.52322406,0.63831264,-0.18487841,-0.3969193,0.31089893,0.23602352,0.4914629,-0.18212448,0.45047614,1.9699755,-1.1478952,-0.7035899,-0.56276363,-0.93829453,-1.523479,0.42316753,0.36989063,0.93713105,-1.8373593,0.37620205,1.6043614,-0.7344753,-0.2311863,-0.16231489,0.45540115,-0.30834597,-0.41542232,0.44351375,1.0,1.1619048,0.54285717,4,CH_Sav_72
-1.5298179,-0.28907043,-1.1257449,-1.842406,0.07788474,0.9907921,-2.7107408,1.5433688,-0.49645764,0.3584463,-0.45227534,-0.9052601,-0.15529463,-0.33430448,-1.2192211,-1.7312561,0.21719283,-0.040168315,-0.80691236,0.5871953,-0.38957146,-0.767897,-0.060012072,-1.1493697,1.3725252,0.3344878,1.1269437,0.7792683,-0.25005615,0.3733456,-0.7879646,1.7765863,0.6060606,1.3264534,0.6068966,10,CH_Sav_72
-0.42845592,1.0232192,-0.66169614,0.26572013,0.41722965,1.4652734,-0.62859315,1.3932508,0.27439347,-1.0564816,0.59694403,-0.13483234,1.3137571,1.3558898,-0.63400793,-1.1121156,-0.5188851,2.3895118,-1.8672513,-0.25358623,0.15210365,0.7402135,-1.752673,-1.3100028,2.693335,-0.22514641,0.36252713,-0.14426598,0.60068583,0.19004394,-0.59735537,1.0145203,1.0,1.322029,0.59069765,13,CH_Sav_72
0.13705985,-1.4423816,-0.27130872,1.7887303,-0.0298703,-0.8974643,1.6409003,-0.48307535,0.5611254,1.7118117,-0.76700974,-0.37155247,-0.17488602,0.5155195,-0.25011703,-0.67392534,-0.11282314,-1.1533945,-0.47608596,1.5598192,0.5276046,0.29809326,2.2223918,0.49891508,0.14767216,0.20626898,-0.016990066,0.8991349,1.8470464,-0.24725258,1.7984946,-0.7101234,1.0,1.1272727,0.74545455,6,CH_Sav_72
