KEY,RADIUS,LENGTH,WALL,SHEAR,CIRCUM,FLOW,NODES,EDGES,GRADIUS,GDIAMETER,AVG_ECCENTRICITY,AVG_SHORTEST_PATH,AVG_IN_DEGREES,AVG_OUT_DEGREES,AVG_DEGREE,AVG_CLUSTERING,AVG_CLOSENESS,AVG_BETWEENNESS,AVG_CORENESS,ACTIVITY
C_Lvav,13.57419138090825,34.641000000000005,1.7985273401297497,0.056816813253012,339.5445449490269,572156374.7606117,1794,2158,70.0,120.0,93.90078037904124,47.10122543944897,1.2028985507246377,1.2028985507246377,2.4057971014492754,0.0113530616043178,0.0216545463926054,0.0031532303122435,1.9966555183946488,0.1777777777777778
C_Lvav,13.57419138090825,34.641000000000005,1.7985273401297497,0.056816813253012,339.5445449490269,572156374.7606117,1794,2158,70.0,120.0,93.90078037904124,47.10122543944897,1.2028985507246377,1.2028985507246377,2.4057971014492754,0.0113530616043178,0.0216545463926054,0.0031532303122435,1.9966555183946488,0.1777777777777778
C_Lvav,13.455066357000666,34.641000000000005,1.7896927670869276,0.0588585693430656,363.1838281353683,521817772.3082946,1255,1507,67.0,134.0,94.46533864541831,40.92414901796324,1.200796812749004,1.200796812749004,2.401593625498008,0.0066560170394036,0.0255768732138191,0.0041148541390443,1.99601593625498,0.2129032258064516
C_Lvav,13.455066357000666,34.641000000000005,1.7896927670869276,0.0588585693430656,363.1838281353683,521817772.3082946,1255,1507,67.0,134.0,94.46533864541831,40.92414901796324,1.200796812749004,1.200796812749004,2.401593625498008,0.0066560170394036,0.0255768732138191,0.0041148541390443,1.99601593625498,0.2129032258064516
C_Lvav,13.26370210526316,34.641000000000005,1.7069284210526314,0.0537614284210526,353.93653789473683,440499140.8617894,1603,1900,65.0,116.0,89.77417342482845,46.0190147530808,1.1852776044915785,1.1852776044915785,2.3705552089831565,0.0114583333333333,0.0220925575503688,0.0029474385865981,1.99812850904554,0.8974358974358974
C_Lvav,13.75046376811594,34.641,1.7705620471014492,0.0594587807971014,339.9611793478261,598223913.0886322,1825,2208,62.0,116.0,89.00493150684932,46.02191540495073,1.20986301369863,1.20986301369863,2.4197260273972603,0.0131723380900109,0.0221104747421123,0.0023976101189334,1.9983561643835617,0.6588235294117648
C_Lvav,12.941605412208936,34.641000000000005,1.7569087476400251,0.0530252636878539,323.95854625550663,403391033.02416617,1332,1589,68.0,136.0,99.28903903903904,45.08391599713914,1.192942942942943,1.192942942942943,2.385885885885886,0.0090293453724605,0.0232049116056165,0.0035109513687156,1.9962462462462465,-0.029940119760479
C_Lvav,12.824463292293665,34.641,1.687437756497948,0.0505437259461924,313.2588372093023,368361165.7621979,1828,2193,64.0,111.0,88.2117067833698,45.181477928327695,1.199671772428884,1.199671772428884,2.399343544857768,0.0153424657534246,0.0225633833532599,0.0027913709293192,1.99835886214442,0.2592592592592593
C_Lvav,14.331410354223433,34.641000000000005,1.8192147138964576,0.0638262245231607,370.5930566757494,650182086.6051226,1532,1835,70.0,140.0,102.78590078328982,48.01747948831205,1.197780678851175,1.197780678851175,2.39556135770235,0.0089383039023326,0.0216832782485586,0.0038958728326899,1.998041775456919,0.2592592592592593
C_Lvav,14.331410354223433,34.641000000000005,1.8192147138964576,0.0638262245231607,370.5930566757494,650182086.6051226,1532,1835,70.0,140.0,102.78590078328982,48.01747948831205,1.197780678851175,1.197780678851175,2.39556135770235,0.0089383039023326,0.0216832782485586,0.0038958728326899,1.998041775456919,0.2592592592592593
C_Lvav,12.824463292293665,34.641,1.687437756497948,0.0505437259461924,313.2588372093023,368361165.7621979,1828,2193,64.0,111.0,88.2117067833698,45.181477928327695,1.199671772428884,1.199671772428884,2.399343544857768,0.0153424657534246,0.0225633833532599,0.0027913709293192,1.99835886214442,0.2592592592592593
