dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,activity,growth,symmetry,timepoint,seed_key
-0.100363284,0.70064044,0.27700013,0.6549485,0.23375565,0.39050928,-0.71494937,-1.5917279,-0.36984897,-1.0843236,1.0249763,-0.8316957,0.86329365,-0.5885394,-0.21276322,0.6033504,0.49273735,0.14669116,0.7650309,-0.16361062,0.3117022,-0.019840017,1.2775102,1.3456509,-0.17380336,-1.0802137,-0.7737943,-0.3507866,-0.6043754,-0.55147266,0.6366654,-0.7830841,1.0,1.15,0.55,9,CH_Savav_45
-2.1620739,-0.102053486,0.1098705,-1.727158,-2.5567143,0.28264648,0.8770144,-1.1525114,0.64945966,0.6839636,-0.7247145,-0.25874907,-1.4796549,0.885251,-1.1333086,0.34292743,-0.0678211,2.8223011,-0.867639,0.8716699,-0.18185493,-0.17860651,-1.7290938,0.19751808,-1.0430721,-1.0445132,-1.9712697,-0.8124727,0.1443683,-0.15747887,-2.0101976,0.14917874,0.14606741,1.1052136,0.48,12,CH_Savav_45
0.72168696,0.23221995,0.27818578,1.7014962,0.81114256,-0.01756325,-0.20859909,-1.2497927,1.0262606,-1.4324132,-0.40905368,-1.9486535,0.046047233,0.16679351,-0.5209675,-0.5091409,-0.7056707,1.0514225,0.10435486,1.0269549,-0.5380591,0.106980234,0.5652606,2.9239197,-1.3981827,-0.030958485,-1.723109,0.9935576,0.49282435,0.80705,-0.9589335,-0.7808676,1.0,-0.6666667,0.8,2,CH_Savav_45
1.2667446,-0.64424944,-1.1218079,1.1355608,0.9604652,0.5557717,-0.69018567,-0.04579243,-0.6550127,-0.03870269,1.8208191,2.385353,0.65278244,-2.2221727,-1.9004805,-0.2296631,-1.7924969,-0.8527388,-0.3797726,0.23964153,-0.7709434,2.3119245,0.9941464,-0.19616887,-0.047496,-1.0032921,1.4988414,-0.14995521,-2.7960434,0.530286,1.966354,-1.02407,0.89041096,0.96866095,0.36,14,CH_Savav_45
-0.45945364,-0.6593316,-0.7738402,1.0348284,-0.6213276,0.267356,0.6182526,0.01323154,0.19272546,1.7060732,0.4038176,0.98304546,-0.32331294,0.13490754,-0.22085063,-1.4174578,0.34472293,0.6607717,-0.74504846,-1.1012393,1.4065416,0.60591143,-0.19311897,0.15583986,1.2807804,-0.023570687,-0.37965047,0.9398134,-1.045407,-0.18283641,-0.45551533,-1.1106349,0.0,0.0,0.0,0,CH_Savav_45
-0.36148483,0.6975808,0.14700803,-0.86005974,-1.9755579,-0.77478355,-0.6922537,-0.72935516,-1.1377951,-0.32135016,-1.7668948,-0.5383063,0.028808815,-0.1634286,1.41128,-0.63881576,0.8131876,0.4238053,-0.54673505,0.22792399,-0.9012713,1.3008556,1.3607634,0.8207998,-1.5082122,-0.69084954,0.25017202,-0.6773847,-1.5842024,0.9215789,-1.0624958,1.7651782,0.6888889,1.1575092,0.64,8,CH_Savav_45
0.302212,0.5736571,0.03343315,-0.70140666,-0.6462529,0.34543043,-0.769166,0.36044246,-1.0204629,0.016350722,-0.8332175,0.5693883,1.2013156,-1.2992522,-1.0526295,0.016784322,-0.47863263,-0.93488324,-0.48301658,0.84613925,-0.27257234,0.41340166,1.0011804,-0.57539403,0.6549764,0.4688775,-1.0852158,0.15475045,-0.9435955,-0.96264285,0.7407324,-0.87529874,0.8947368,1.1468868,0.5478261,10,CH_Savav_45
0.3560282,-1.2874395,1.2350508,-0.17614092,-1.0047755,2.0836763,0.998501,0.5712573,-0.16851,-0.8292071,0.5176087,-1.5189118,-1.96876,-0.6309723,0.090216115,0.37880155,1.2082773,-2.3516502,1.0964857,-1.3570944,-0.95536536,0.45883572,0.10510473,-0.72698575,-0.12099696,0.57700074,0.15133314,-0.83067346,-0.15873957,0.26210096,-1.4125528,1.4884683,1.0,0.4,0.5,3,CH_Savav_45
0.14010826,-1.7680799,1.4250301,-0.9659914,-0.5238367,0.98796695,0.09638801,0.52876496,0.81136376,0.24927993,-0.37634003,0.1309678,0.47826633,0.60177696,-0.17662954,0.10983077,1.5942475,0.44924882,-0.4518642,0.36793983,-0.25444606,-0.016767826,-1.7739208,-0.7008243,0.8663595,2.4287107,0.70806026,-0.574368,0.8549382,0.7717699,-1.2712673,-0.6456876,0.8933333,1.0475363,0.30769232,13,CH_Savav_45
0.48724833,1.1681612,-0.32824814,0.2599896,0.56337583,-0.47559512,1.4596627,-0.39876586,-0.9786179,0.7707392,-0.07593592,-0.04969563,0.27607763,0.32735983,1.4706956,1.1321759,0.94377416,-0.27917507,-0.32750392,-0.43353334,-0.57526493,0.6271193,-0.067136385,-0.58947843,1.1931665,0.0479606,-0.30939937,-0.8482639,-0.5067419,-2.4341204,-1.4044778,-0.083653525,1.0,1.2494173,0.65,7,CH_Savav_45
-1.8178587,-0.2627814,1.9565262,0.17880379,2.0417182,0.5747597,-0.56317115,-0.01704973,1.4687713,0.5034688,0.4854775,1.1452758,1.9856691,-0.23072639,0.6572216,0.9140831,-0.30485505,-0.6174729,-1.2013395,-0.54422104,-2.756992,0.30085337,-1.8253806,-0.028000042,0.4973839,-0.037441388,-2.925896,1.154669,0.8178413,-0.4473507,-0.6906479,-0.62890625,0.84,1.1383458,0.53846157,11,CH_Savav_45
-0.25212166,0.30111092,0.41294375,-1.0353912,1.1276243,1.2442629,-1.0615923,-0.033809666,1.9032146,0.10722937,-0.6710859,-0.157089,-0.20133555,-0.5940021,-0.634142,1.5632415,-0.67155695,0.023097977,1.9461575,-0.1133964,1.5438433,0.33651266,0.43694693,-0.8491813,1.2010053,-0.93556684,-1.9020741,1.5747812,0.25094318,0.0071513224,-0.8088382,-0.115889445,1.0,1.1904762,0.6857143,5,CH_Savav_45
1.5863838,-0.4004716,1.040194,1.139821,0.03694214,-0.71942574,0.8431089,-1.0855627,1.7769493,1.6601038,1.5836315,0.2253782,-0.58473575,0.09196032,-1.341515,-0.64702463,-0.37689483,-0.7654355,0.81147647,0.24418879,-0.37166,-0.9773393,-0.04080222,-0.19480626,-0.18716572,1.5338612,1.0831195,0.46821246,1.2192622,0.30710244,-0.9406425,0.49556705,1.0,0.8,0.56666666,4,CH_Savav_45
-0.7108088,-0.61641204,-0.33445668,0.25699726,1.1297369,1.2346944,-1.8001362,-0.30195498,-1.8627121,-0.43284872,1.6712594,-0.08602242,2.1460621,0.88837236,-1.1897366,-0.14478074,-0.32133693,0.45854113,-0.48147285,0.77296025,1.1202941,0.07218532,2.2576454,-1.5139383,0.054114982,-0.07628053,-0.32108796,-0.05708544,0.70289457,1.4309299,-0.83203864,0.41912428,1.0,0.0,1.0,1,CH_Savav_45
-0.58898306,1.2606461,2.1776135,-0.5207064,-0.31072414,0.31860408,1.3313853,-0.5916347,-0.28916728,0.13501865,-0.7584536,1.0216955,-1.4107944,0.38077012,0.22575983,0.93399173,-1.2202812,-1.3427464,-0.15192339,1.3596963,0.44437325,1.3521676,-0.27444217,-1.7083143,0.60524905,-0.7300431,-0.570129,-0.15142033,-0.24282701,0.5342631,0.49561557,-0.31255406,1.0,1.2282828,0.54545456,6,CH_Savav_45
1.1944519,0.51801074,-3.0264866,-0.08728893,1.1520758,1.8721395,-0.14908645,1.2023184,0.05054304,0.75993234,-0.07377298,1.357421,0.5745241,0.6011261,0.3284902,-0.34443498,0.3552137,-1.0123531,-1.3265461,0.66567624,0.66166365,-0.5293141,0.49381223,0.6054689,0.6271613,-1.1016284,0.58958,-0.2266492,-0.8037665,0.8192939,-0.030100796,1.1939167,1.0,1.159596,0.6363636,6,CH_Lvav_10
-1.4876305,0.8784959,0.16958156,-0.47259232,0.7187623,0.22575635,-0.9522426,-0.2550388,0.80156344,-2.047952,0.99234766,1.094529,0.67737746,-0.95457506,-0.39722666,-0.27359757,-0.14776562,1.4339252,-0.098366834,1.2026849,-0.5843867,0.4774979,1.1027832,2.337514,-1.24897,1.2061284,1.2120843,2.4449704,-1.2312965,-0.651067,-0.4404533,-0.1957489,1.0,1.3571428,0.53333336,5,CH_Lvav_10
0.33939934,-1.2002478,0.16825455,0.52922934,0.1701689,0.5675844,2.42995,-1.6128383,0.58295673,0.63428754,-0.9522172,-0.09728996,0.7065162,0.47857064,0.47869813,0.5311712,-1.6929508,-0.6154511,0.5747488,-0.3961491,2.921539,1.1988468,-0.65271485,-1.8917676,-0.44085407,-1.0597272,-1.9657797,-1.1716217,1.7535902,1.3458992,0.49945307,-0.67161936,1.0,1.1002331,0.56,7,CH_Lvav_10
-0.28684446,-1.7748663,0.18619084,1.1321161,-1.3980657,1.8133013,0.66623896,-1.419295,-0.8729823,0.91059166,-1.955667,1.2613587,-3.657822,-0.73359,1.8820093,-1.2095703,-0.22839734,-0.11498328,-1.9887849,-0.47202715,-0.8997422,0.13680361,-1.0010062,0.38170874,0.008163415,0.33523646,-0.44364768,1.0409576,-2.2699902,1.1557748,1.2494415,-0.019380659,0.9047619,1.106087,0.47142857,13,CH_Lvav_10
-0.31796908,-1.144887,1.3367645,0.3380892,-0.4723459,0.23040837,-1.990797,1.128599,1.5748606,0.3577464,0.64575636,0.91580045,-0.22056386,-1.7055771,-2.756127,-0.5786206,1.047975,1.0839869,0.72458243,-0.038663458,0.3147743,0.5515345,-0.64373815,-0.1007829,-0.8477701,0.65468585,-1.1083272,-1.567806,-1.5778552,1.7546055,0.806528,0.108427346,0.9512195,1.118679,0.552,10,CH_Lvav_10
-0.35567915,1.0099589,-1.0062044,-0.90325284,-0.06888631,-1.714763,-0.3727994,1.8145913,0.44358864,0.53483224,1.2514052,-1.3096443,0.31180546,-1.6928174,-0.08354306,0.9749544,-0.77643156,-1.3258559,-0.03688909,-0.53400266,0.4914795,-0.3484206,-2.2135515,-1.2403069,-0.41160247,-0.4420643,0.6509268,-0.33272272,-0.66164225,-0.3106231,0.1498802,0.3102153,1.0,1.1032968,0.57894737,8,CH_Lvav_10
