,index,GROWTH,CYCLES,SYMMETRY,ACTIVITY,GLUCOSE,OXYGEN,PRESSURE,RADIUS,WALL,SHEAR,CIRCUM,FLOW,SHORTPATH,GDIAMETER,GRADIUS,ECCENTRICITY,CLOSENESS,BETWEENNESS,EDGES,NODES,CLUSTERING,INDEGREE,OUTDEGREE,DEGREE,COMPONENTS,CONTEXT
0,50,1.102450142,1360.691489,0.470175439,0.788235294,0.0008184,2.887,39.7429598,7.347073651,2.405509336,0.050498553,115.610763,51228996.62,9.136177045,107,56,81.88917197,0.004670455,0.005704418,1928,1570,0.019320594,1.228025478,1.228025478,2.456050955,1,CHX
1,51,0.990769231,1410.264368,0.425925926,0.710144928,0.00166,8.869,38.09805751,7.006306736,2.326735233,0.038819096,109.647544,29791995.03,8.339064327,110,57,85.60669975,0.004393712,0.005066301,1930,1612,0.016335815,1.197270471,1.197270471,2.394540943,1,CHX
2,52,0.381994302,1272.076923,0.533333333,-0.666666667,0.000793,0.269,37.8149398,7.137983041,2.364535896,0.041706716,109.6600774,33282482.13,11.2308594,114,57,82.52469136,0.005678683,0.007552127,1769,1458,0.009602195,1.213305898,1.213305898,2.426611797,1,CHX
3,53,1.474871795,1402.944785,0.732352941,0.960784314,0.0008659,3.696,39.88263482,6.790871059,2.256195765,0.048715105,113.8274569,37608870.47,7.55318592,103,53,76.42397661,0.0049765,0.004316011,2125,1710,0.016764133,1.242690058,1.242690058,2.485380117,1,CHX
4,54,1.388717949,1348.948905,0.638095238,0.847619048,0.0008274,2.038,39.92992774,7.524004922,2.45055123,0.053930772,116.4791423,53877777.77,9.852659124,108,54,79.87513751,0.004552538,0.005316909,2235,1818,0.013751375,1.229372937,1.229372937,2.458745875,1,CHX
5,55,1.379373219,1411.08547,0.556666667,0.663551402,0.001049,5.013,37.95734372,6.929291462,2.286353288,0.044423045,109.0150628,43345599.69,10.17263807,105,53,77.57844311,0.005055389,0.005969852,2038,1670,0.018163673,1.220359281,1.220359281,2.440718563,1,CHX
6,56,1.617094017,1317.005348,0.771830986,1.0,0.003072,15.51,39.75807466,7.133673208,2.358074232,0.043553292,115.1396284,37534250.38,8.936422345,105,53,79.42559834,0.004522493,0.00455531,2344,1922,0.01127298,1.219562955,1.219562955,2.439125911,1,CHX
7,57,1.494245014,1327.711268,0.689285714,0.896551724,0.0008947,3.903,40.86589235,8.030085903,2.562667952,0.065898996,120.8375336,82199774.49,9.716633541,105,53,76.16363636,0.005170816,0.006412722,1816,1485,0.004264871,1.222895623,1.222895623,2.445791246,1,CHX
8,58,1.279088319,1332.336,0.662745098,0.872340426,0.0007426,1.799,39.57913073,7.223873125,2.363416202,0.052905354,114.4435817,53375328.66,8.201798197,105,53,76.91858597,0.004588108,0.004299027,2333,1867,0.007498661,1.249598286,1.249598286,2.499196572,1,CHX
9,59,1.425868946,1354.879747,0.756666667,0.876923077,0.0009224,3.981,38.74500531,6.562096735,2.206831837,0.029205937,109.8326465,19600499.18,12.38826312,115,58,83.46576712,0.005242275,0.006076599,2450,2001,0.015492254,1.224387806,1.224387806,2.448775612,1,CHX
