,index,GROWTH,CYCLES,SYMMETRY,ACTIVITY,GLUCOSE,OXYGEN,CONTEXT,PRESSURE,RADIUS,WALL,SHEAR,CIRCUM,FLOW,SHORTPATH,GDIAMETER,GRADIUS,ECCENTRICITY,CLOSENESS,BETWEENNESS,EDGES,NODES,CLUSTERING,INDEGREE,OUTDEGREE,DEGREE,COMPONENTS
10,10,1.4748717948717949,1307.2957746478874,0.9228070175438596,1.0,0.003534,24.02,C,38.3781237785016,6.771347312703568,2.250859120521227,0.0695274189739415,110.04620439739402,55094756.52943809,3.0874846404119447,108.0,58.0,82.15886454183267,0.0028855965187899,0.0014962787708868,2456.0,2008.0,0.0179282868525896,1.2231075697211156,1.2231075697211156,2.446215139442231,1.0
11,11,1.448888888888889,1374.8333333333333,0.8785714285714286,1.0,0.003995,29.92,C,38.99485098476401,6.665555927164585,2.2195213675214127,0.0693527417316983,111.01371163136372,53313271.04098843,3.2559307509318747,116.0,58.0,87.20295202952029,0.0029719178312198,0.001461880959903,2691.0,2168.0,0.0178351783517835,1.2412361623616237,1.2412361623616237,2.4824723247232474,1.0
12,12,1.52022792022792,1355.2941176470588,0.8375,1.0,0.003944,29.54,C,38.09547431386348,6.7110355383532205,2.239324419422992,0.0567083930330753,108.93390957072472,42260412.2064743,4.236886335562787,107.0,54.0,81.75921908893709,0.0032989520358248,0.0017919165221895,2842.0,2305.0,0.0187997107736804,1.2329718004338397,1.2329718004338397,2.465943600867679,1.0
13,13,1.4445584045584043,1385.7366548042703,0.9296296296296296,1.0,0.003666,26.57,C,36.90460626945303,6.47540684748774,2.1818892841263184,0.0543489457536683,104.87629079590911,33640835.57478854,3.373283704340552,121.0,61.0,85.95959051724138,0.0033757918637192,0.0017673592530796,2249.0,1856.0,0.0129310344827586,1.2117456896551724,1.2117456896551724,2.4234913793103448,1.0
14,14,1.415840455840456,1381.1226765799256,0.8872727272727272,1.0,0.001704,8.576,C,37.21417387687188,6.294349750415976,2.140723460898532,0.0435256782029949,105.20579101497512,23393516.8596672,3.7041763141743966,111.0,58.0,85.67177786987153,0.0029009831746734,0.0014969228937351,3005.0,2413.0,0.0207210940737671,1.2453377538334025,1.2453377538334025,2.490675507666805,1.0
15,15,1.424045584045584,1341.676,0.8428571428571429,1.0,0.003914,31.69,C,38.22098993028665,6.888873353989146,2.2884024012394013,0.0650090367931836,109.91172269558504,50727516.93350121,3.6041722889553465,111.0,58.0,83.69013409961686,0.0032370404524719,0.0016800127282974,2582.0,2088.0,0.014367816091954,1.2365900383141764,1.2365900383141764,2.4731800766283527,1.0
16,16,1.3987464387464383,1401.8951310861423,0.8481481481481481,1.0,0.003032,18.43,C,37.93491953125005,6.591717187499967,2.2049257812500382,0.0691857390624999,108.2946988281249,49458744.61070304,2.7988592530922487,112.0,58.0,83.25325615050652,0.0031004515019268,0.0013105007623934,2560.0,2073.0,0.014954172696575,1.2349252291365171,1.2349252291365171,2.4698504582730343,1.0
17,17,1.491509971509971,1351.968085106383,0.9035714285714286,1.0,0.004131,31.71,C,39.41516604159566,7.005319809069169,2.3148090692124783,0.0683529826116601,113.70690555744984,58780734.17671304,4.163191406620951,123.0,62.0,89.39549702633815,0.0031473022934922,0.001725616257008,2933.0,2354.0,0.0186915887850467,1.245964316057774,1.245964316057774,2.491928632115548,1.0
18,18,1.401025641025641,1322.6543209876545,0.8206896551724139,0.9743589743589745,0.001581,9.257,C,38.47216609654126,6.878381603952852,2.2875891296085555,0.0592483458760927,110.59148080577724,43927914.80064608,4.236826934062552,107.0,55.0,82.73807296538821,0.0033437457446879,0.0019321384364508,2631.0,2138.0,0.0176177112566261,1.2305893358278766,1.2305893358278766,2.461178671655753,1.0
19,19,1.4217663817663817,1433.8735632183907,0.8607142857142858,1.0,0.003345,21.69,C,37.55744220485401,6.290804607157502,2.1320423693953354,0.050565582476347,106.10705553270256,32378513.53393668,3.936415530438478,105.0,57.0,81.4147582697201,0.0034512184038601,0.0019501843531228,2431.0,1965.0,0.0156064461407972,1.2371501272264631,1.2371501272264631,2.4743002544529262,1.0
20,20,1.4272364672364672,1345.1142857142856,0.8533333333333333,1.0,0.003575,26.75,C,41.45006654151018,7.146321652065043,2.347725073007973,0.0770235152273678,119.16657655402608,69307274.47425956,3.662962982353727,99.0,52.0,78.39897698209718,0.003317913819235,0.0018236391174667,2397.0,1955.0,0.0165387894288149,1.2260869565217392,1.2260869565217392,2.4521739130434783,1.0
21,21,1.462108262108262,1390.121951219512,0.8872727272727272,1.0,0.004014,30.82,C,42.902252199929535,6.747876451953491,2.236068285814912,0.0813355494544174,121.42729883843715,71218158.87539582,3.1860974475594004,116.0,58.0,84.92763731473408,0.0028364142823717,0.0013516355525987,2841.0,2294.0,0.0117698343504795,1.2384481255448998,1.2384481255448998,2.4768962510898,1.0
22,22,1.5024501424501424,1409.1573426573427,0.9133333333333332,1.0,0.003672,26.64,C,40.76853375262052,6.703139622641484,2.2347849056604305,0.0703390188679245,116.06818029350082,53580556.89291403,3.603743998187013,121.0,62.0,85.92592592592592,0.0032703690587683,0.0018041680116956,2385.0,1944.0,0.0137174211248285,1.226851851851852,1.226851851851852,2.453703703703704,1.0
23,23,1.3982905982905982,1404.7054263565892,0.8436363636363636,1.0,0.00316,17.8,C,38.93810995770853,6.190390618992665,2.103286428296831,0.0524203598615916,109.34314109957708,30273967.058285348,4.597227251071939,121.0,61.0,87.69666666666667,0.0033140720844303,0.0021367938460262,2601.0,2100.0,0.0193650793650793,1.2385714285714289,1.2385714285714289,2.4771428571428573,1.0
24,24,1.3372079772079772,1366.3632286995517,0.7464285714285714,0.9111111111111112,0.001103,7.268,C,41.66214470464863,6.525379937084924,2.194636141209405,0.0539494096469765,117.6614176861238,37666937.6747989,4.252446467899246,108.0,56.0,84.41290322580645,0.0030747929606525,0.0017847865152861,2861.0,2325.0,0.0164874551971326,1.230537634408602,1.230537634408602,2.461075268817204,1.0
25,25,1.2134472934472933,1297.5950920245398,0.611764705882353,0.7655172413793103,0.0008173,4.728,C,40.446718680504105,6.617580800592997,2.216080800593073,0.0655378239436619,115.1459607116382,46811312.34336551,3.5327483943483053,110.0,57.0,85.77256153144941,0.0032275969072473,0.0015662633783094,2698.0,2194.0,0.0194469766028562,1.2297174111212397,1.2297174111212397,2.45943482224248,1.0
26,26,1.3994301994301994,1372.892,0.796551724137931,1.0,0.002328,13.53,C,41.524289647577135,6.5455304698971775,2.1966560205580463,0.0707414232745961,117.34271916299546,47504204.116005965,3.5172834785933387,113.0,58.0,85.71441564347431,0.0029080766823692,0.0015577251738773,2724.0,2199.0,0.0160679096559041,1.2387448840381992,1.2387448840381992,2.4774897680763983,1.0
27,27,1.4026210826210823,1379.7310606060605,0.8464285714285714,1.0,0.003158,21.72,C,40.81130927206189,6.655238714924755,2.22629524196832,0.0582417417649451,115.8424542496949,41897730.49381889,4.539825698872836,109.0,55.0,83.31845536609829,0.003573524850547,0.0022190311759084,2459.0,1994.0,0.0222333667669675,1.233199598796389,1.233199598796389,2.466399197592778,1.0
28,28,1.388034188034188,1337.4046692607003,0.8857142857142857,1.0,0.001978,10.71,C,40.37881878669278,6.664297064579224,2.22438003913898,0.0694939091976516,114.66622622309212,52317284.83213315,4.00077374018175,107.0,54.0,81.7052274927396,0.0032096104848545,0.0018882483193783,2555.0,2066.0,0.0148434979025491,1.2366892545982575,1.2366892545982575,2.473378509196515,1.0
29,29,1.4573219373219373,1372.0289855072465,0.85,1.0,0.004161,32.41,C,39.9201556852409,6.427285768072268,2.171383283132562,0.0560980696536143,112.69122703313268,38678550.69631037,4.285727525366433,109.0,56.0,80.88197026022304,0.0036633078379124,0.0019388488235641,2656.0,2152.0,0.0123915737298636,1.2342007434944238,1.2342007434944238,2.4684014869888475,1.0
30,30,1.477606837606838,1333.5906040268455,0.9220338983050848,1.0,0.003942,26.62,C,39.88769109250098,6.973325466311394,2.3194221545489566,0.0580988934145413,114.9599615531022,45628934.4903311,5.094032693257904,111.0,60.0,86.01540616246498,0.0035926350104862,0.002321470944193,2627.0,2142.0,0.0177404295051353,1.2264239028944912,1.2264239028944912,2.4528478057889824,1.0
31,31,1.4611965811965812,1364.1616161616162,0.9285714285714286,1.0,0.003621,21.22,C,41.82858390410957,7.088603424657525,2.3375815068493697,0.0700955109589042,120.22734691780832,65279631.47585644,4.637799219402027,110.0,57.0,84.35868187579214,0.003405507200598,0.0019108402172945,2920.0,2367.0,0.0147866497676383,1.2336290663286862,1.2336290663286862,2.4672581326573724,1.0
32,32,1.478974358974359,1345.1868512110727,0.9403508771929824,1.0,0.004242,31.98,C,40.00706571899472,7.134002060156527,2.352951792336274,0.0657320844664194,115.6290539761024,55570220.52995472,5.759579897919121,101.0,57.0,80.31347804139324,0.0039752560889744,0.0028387125541522,2427.0,1981.0,0.0134612148746424,1.2251388187783947,1.2251388187783947,2.4502776375567894,1.0
33,33,1.4621082621082622,1397.195652173913,0.8666666666666667,1.0,0.003913,26.75,C,38.78312555358725,6.446212134632395,2.184884853852979,0.0404529357838795,109.78500841452608,23992565.33644818,5.276812388295305,95.0,53.0,76.24224278715296,0.0044025000709873,0.0027981218153046,2258.0,1837.0,0.0157866086009798,1.2291780076211214,1.2291780076211214,2.458356015242243,1.0
34,34,1.470997150997151,1321.90625,0.9241379310344828,1.0,0.003296,20.57,C,40.38554449007535,7.0149277891854505,2.3288268309377624,0.0578422861054073,116.56793702943185,48545996.641102,5.277144482244235,104.0,55.0,81.28456659619451,0.0039236623627201,0.0021757214527769,2922.0,2365.0,0.0088794926004228,1.2355179704016914,1.2355179704016914,2.471035940803383,1.0
35,35,1.381196581196581,1318.326612903226,0.8218181818181818,1.0,0.003431,23.42,C,40.307010593220326,7.053449152542375,2.337720724191102,0.0557799803543913,116.31987095531564,42521155.15828201,5.422200501721331,109.0,56.0,82.25978312116926,0.0037521341439387,0.0024951128164566,2596.0,2121.0,0.0108439415370108,1.223950966525224,1.223950966525224,2.447901933050448,1.0
36,36,1.4142450142450145,1387.5647058823529,0.8571428571428572,1.0,0.003552,23.95,C,39.71101877070299,6.796447552447531,2.2763849834376426,0.0478941280824439,113.7994306220094,34544604.47199105,6.246315980923127,106.0,55.0,82.31056179775281,0.0040632941925896,0.0027422455430551,2717.0,2225.0,0.0137827715355805,1.221123595505618,1.221123595505618,2.442247191011236,1.0
37,37,1.4641595441595436,1302.281954887218,0.8690909090909091,1.0,0.003329,19.5,C,41.551480016313214,7.409374796084789,2.4265256933116217,0.0685208980424142,121.08671778140292,63702930.50774879,5.648966330138882,97.0,50.0,75.79453441295547,0.0041136342992162,0.0027894078979171,2452.0,1976.0,0.0133265856950067,1.2408906882591093,1.2408906882591093,2.4817813765182186,1.0
38,38,1.434985754985755,1329.5289575289576,0.839344262295082,1.0,0.003277,21.92,C,40.48036879868812,7.650033620336162,2.4865412054121028,0.0753708064780647,118.9396830668308,78231242.74259956,5.2433454339183125,107.0,56.0,81.68188660311088,0.0035524398434692,0.0025696858141625,2439.0,1993.0,0.0110386352232814,1.2237832413447065,1.2237832413447065,2.447566482689413,1.0
39,39,1.4454700854700857,1327.839552238806,0.8642857142857143,1.0,0.004089,29.64,C,41.62491815008726,7.658945200698045,2.4861267015707487,0.0790849472949391,122.07985410122174,80620274.47504358,5.780457495402239,109.0,57.0,83.3134971970677,0.003736631670961,0.0024344277478665,2865.0,2319.0,0.0103492884864165,1.2354463130659767,1.2354463130659767,2.470892626131953,1.0
40,40,1.4502564102564102,1366.224025974026,0.8933333333333333,1.0,0.004061,30.56,C,40.11607902298849,6.705844508301393,2.246453384418984,0.0869194374201789,114.49206609195416,56830445.78307777,1.609273352057868,118.0,59.0,87.02336633663366,0.0025264582109896,0.0006140469286804,3132.0,2525.0,0.0162376237623762,1.2403960396039604,1.2403960396039604,2.4807920792079208,1.0
41,41,1.2211965811965813,1257.70625,0.5346153846153846,0.8814814814814815,0.001583,11.51,C,41.670568888888894,6.581955851851824,2.209106962963051,0.103557546962963,118.20029866666675,71441914.95869614,1.200607851697619,120.0,76.0,97.113409678611,0.0021790991291769,0.0004259961704395,3375.0,2707.0,0.0118212042851865,1.2467676394532694,1.2467676394532694,2.493535278906539,1.0
42,42,1.4429629629629628,1392.3003412969283,0.9035714285714286,1.0,0.003389,20.95,C,38.93267080536917,6.40800067114091,2.1684003355705284,0.0705558191275167,110.18865503355724,41854339.33348982,1.9264713424467044,114.0,58.0,84.07548734964745,0.0026445604481939,0.0007718460904719,2980.0,2411.0,0.0165906262961426,1.2360016590626297,1.2360016590626297,2.4720033181252594,1.0
43,43,1.3602279202279204,1411.112,0.8769230769230769,1.0,0.002782,15.85,C,40.32102374746598,6.52341760787718,2.190703156675454,0.0980581227917755,114.48655314219543,72136858.41138203,1.302131244438382,115.0,62.0,88.92,0.0022217149017825,0.0004513881610542,3453.0,2775.0,0.0115315315315315,1.2443243243243245,1.2443243243243245,2.4886486486486485,1.0
44,44,1.4174358974358974,1352.4478764478763,0.8385964912280701,1.0,0.002323,13.13,C,41.111245255041446,6.460156583629863,2.1799285290629595,0.0975985554567022,116.4617787663108,62815816.49131062,1.2361145871331023,113.0,59.0,87.23994093761536,0.0021672437645609,0.0004387590926158,3372.0,2709.0,0.0211640211640211,1.2447397563676634,1.2447397563676634,2.489479512735327,1.0
45,45,1.3057549857549855,1285.0054347826087,0.6392857142857142,0.8867924528301887,0.002371,18.89,C,40.99117391984974,6.754272385723191,2.2511887914841258,0.111023172510958,117.24886443331256,81207284.89395772,1.1024703006325027,113.0,65.0,90.61340607950116,0.002081653793875,0.0004123994890559,3194.0,2566.0,0.0185762535723564,1.244738893219018,1.244738893219018,2.489477786438036,1.0
46,46,1.4390883190883192,1373.128514056225,0.8571428571428572,1.0,0.004137,33.51,C,39.4499835718933,6.290329212752071,2.1441145087833973,0.0718130500975926,111.4577101496422,37289875.29508776,1.5163534707844817,111.0,59.0,87.43885760257442,0.0025124496932368,0.0005871650411262,3074.0,2486.0,0.0160901045856798,1.236524537409493,1.236524537409493,2.473049074818986,1.0
47,47,1.431111111111111,1365.840425531915,0.8714285714285714,1.0,0.003431,22.45,C,39.59280686365047,6.428126500461652,2.165512157587025,0.0901926472760846,112.10785841797444,61368499.13188643,1.2377022591131983,109.0,55.0,82.85036356678148,0.0022563117349274,0.0004551363905968,3249.0,2613.0,0.0131394310498788,1.243398392652124,1.243398392652124,2.486796785304248,1.0
48,48,1.0844444444444443,1360.4880952380952,0.653061224489796,0.7076023391812865,0.0006668,1.389,C,40.91149133126932,6.480407739938041,2.1858863777090614,0.0905190801857588,115.92418328173376,60260622.21201276,1.2527485285596032,121.0,66.0,92.93764345830144,0.0021881163387265,0.0004607213412819,3230.0,2614.0,0.0132619229788319,1.2356541698546288,1.2356541698546288,2.4713083397092577,1.0
49,49,1.4035327635327637,1368.5591836734693,0.8666666666666667,1.0,0.003873,27.9,C,42.19400913107508,6.96325331369655,2.3041357879235087,0.125201326067747,121.59526686303404,102957005.38759916,1.3864336209084334,105.0,58.0,83.57790055248618,0.0022020625401393,0.0004919154772847,3395.0,2715.0,0.0186617556783302,1.2504604051565378,1.2504604051565378,2.500920810313076,1.0
