,index,GROWTH,CYCLES,SYMMETRY,ACTIVITY,GLUCOSE,OXYGEN,PRESSURE,RADIUS,WALL,SHEAR,CIRCUM,FLOW,SHORTPATH,GDIAMETER,GRADIUS,ECCENTRICITY,CLOSENESS,BETWEENNESS,EDGES,NODES,CLUSTERING,INDEGREE,OUTDEGREE,DEGREE,COMPONENTS,CONTEXT
0,0,1.03019943,1172.097345,0.725,0.167785235,0.0004689,0.7871,39.7429598,7.347073651,2.405509336,0.050498553,115.610763,51228996.62,9.136177045,107,56,81.88917197,0.004670455,0.005704418,1928,1570,0.019320594,1.228025478,1.228025478,2.456050955,1,C
1,1,0.925584046,1127.378049,0.580645161,0.245283019,0.0005574,1.358,38.09805751,7.006306736,2.326735233,0.038819096,109.647544,29791995.03,8.339064327,110,57,85.60669975,0.004393712,0.005066301,1930,1612,0.016335815,1.197270471,1.197270471,2.394540943,1,C
2,2,0.862450142,1133.147059,0.8,0.261904762,0.0005947,1.693,37.8149398,7.137983041,2.364535896,0.041706716,109.6600774,33282482.13,11.2308594,114,57,82.52469136,0.005678683,0.007552127,1769,1458,0.009602195,1.213305898,1.213305898,2.426611797,1,C
3,3,0.924216524,1190.91358,0.696,-0.00952381,0.0006286,1.983,39.88263482,6.790871059,2.256195765,0.048715105,113.8274569,37608870.47,7.55318592,103,53,76.42397661,0.0049765,0.004316011,2125,1710,0.016764133,1.242690058,1.242690058,2.485380117,1,C
4,4,1.161709402,1288.704762,0.646153846,0.1875,0.0006301,1.817,39.92992774,7.524004922,2.45055123,0.053930772,116.4791423,53877777.77,9.852659124,108,54,79.87513751,0.004552538,0.005316909,2235,1818,0.013751375,1.229372937,1.229372937,2.458745875,1,C
5,5,1.01994302,1205.318966,0.786206897,0.272727273,0.0005295,0.8382,37.95734372,6.929291462,2.286353288,0.044423045,109.0150628,43345599.69,10.17263807,105,53,77.57844311,0.005055389,0.005969852,2038,1670,0.018163673,1.220359281,1.220359281,2.440718563,1,C
6,6,1.127749288,1221.2,0.635294118,0.009009009,0.0006797,2.446,39.75807466,7.133673208,2.358074232,0.043553292,115.1396284,37534250.38,8.936422345,105,53,79.42559834,0.004522493,0.00455531,2344,1922,0.01127298,1.219562955,1.219562955,2.439125911,1,C
7,7,1.177207977,1205.936937,0.703030303,-0.029411765,0.0006172,1.564,40.86589235,8.030085903,2.562667952,0.065898996,120.8375336,82199774.49,9.716633541,105,53,76.16363636,0.005170816,0.006412722,1816,1485,0.004264871,1.222895623,1.222895623,2.445791246,1,C
8,8,1.121367521,1192.333333,0.625641026,0.125748503,0.0005974,1.402,39.57913073,7.223873125,2.363416202,0.052905354,114.4435817,53375328.66,8.201798197,105,53,76.91858597,0.004588108,0.004299027,2333,1867,0.007498661,1.249598286,1.249598286,2.499196572,1,C
9,9,1.150997151,1201.918699,0.718918919,-0.101265823,0.0005272,1.384,38.74500531,6.562096735,2.206831837,0.029205937,109.8326465,19600499.18,12.38826312,115,58,83.46576712,0.005242275,0.006076599,2450,2001,0.015492254,1.224387806,1.224387806,2.448775612,1,C
10,10,1.438404558,1286.0,0.722222222,0.867549669,0.002658,17.66,38.37812378,6.771347313,2.250859121,0.069527419,110.0462044,55094756.53,3.08748464,108,58,82.15886454,0.002885597,0.001496279,2456,2008,0.017928287,1.22310757,1.22310757,2.446215139,1,C
11,11,1.323076923,1255.702128,0.813043478,0.64,0.0007597,4.134,38.99485098,6.665555927,2.219521368,0.069352742,111.0137116,53313271.04,3.255930751,116,58,87.20295203,0.002971918,0.001461881,2691,2168,0.017835178,1.241236162,1.241236162,2.482472325,1,C
12,12,1.318290598,1233.673797,0.765217391,0.926829268,0.001965,11.48,38.09547431,6.711035538,2.239324419,0.056708393,108.9339096,42260412.21,4.236886336,107,54,81.75921909,0.003298952,0.001791917,2842,2305,0.018799711,1.2329718,1.2329718,2.465943601,1,C
13,13,1.336068376,1248.515306,0.7,0.85,0.001006,5.986,36.90460627,6.475406847,2.181889284,0.054348946,104.8762908,33640835.57,3.373283704,121,61,85.95959052,0.003375792,0.001767359,2249,1856,0.012931034,1.21174569,1.21174569,2.423491379,1,C
14,14,1.374131054,1242.128342,0.795652174,0.619565217,0.001015,6.088,37.21417388,6.29434975,2.140723461,0.043525678,105.205791,23393516.86,3.704176314,111,58,85.67177787,0.002900983,0.001496923,3005,2413,0.020721094,1.245337754,1.245337754,2.490675508,1,C
15,15,1.295042735,1212.3,0.578181818,0.803030303,0.001368,8.544,38.22098993,6.888873354,2.288402401,0.065009037,109.9117227,50727516.93,3.604172289,111,58,83.6901341,0.00323704,0.001680013,2582,2088,0.014367816,1.236590038,1.236590038,2.473180077,1,C
16,16,1.233504274,1195.186335,0.685714286,0.777777778,0.001106,6.956,37.93491953,6.591717187,2.204925781,0.069185739,108.2946988,49458744.61,2.798859253,112,58,83.25325615,0.003100452,0.001310501,2560,2073,0.014954173,1.234925229,1.234925229,2.469850458,1,C
17,17,1.294814815,1262.506024,0.714893617,0.8,0.001508,9.481,39.41516604,7.005319809,2.314809069,0.068352983,113.7069056,58780734.18,4.163191407,123,62,89.39549703,0.003147302,0.001725616,2933,2354,0.018691589,1.245964316,1.245964316,2.491928632,1,C
18,18,1.318518519,1230.130952,0.670833333,0.731182796,0.0009876,6.071,38.4721661,6.878381604,2.28758913,0.059248346,110.5914808,43927914.8,4.236826934,107,55,82.73807297,0.003343746,0.001932138,2631,2138,0.017617711,1.230589336,1.230589336,2.461178672,1,C
19,19,1.212307692,1267.48227,0.569230769,0.856115108,0.00186,11.31,37.5574422,6.290804607,2.132042369,0.050565582,106.1070555,32378513.53,3.93641553,105,57,81.41475827,0.003451218,0.001950184,2431,1965,0.015606446,1.237150127,1.237150127,2.474300254,1,C
20,20,1.39965812,1278.318436,0.665454545,0.816901408,0.002001,13.39,41.45006654,7.146321652,2.347725073,0.077023515,119.1665766,69307274.47,3.662962982,99,52,78.39897698,0.003317914,0.001823639,2397,1955,0.016538789,1.226086957,1.226086957,2.452173913,1,C
21,21,1.371623932,1274.403226,0.735849057,0.666666667,0.0007584,4.58,42.9022522,6.747876452,2.236068286,0.081335549,121.4272988,71218158.88,3.186097448,116,58,84.92763731,0.002836414,0.001351636,2841,2294,0.011769834,1.238448126,1.238448126,2.476896251,1,C
22,22,1.43019943,1298.026455,0.768627451,0.729166667,0.001544,10.04,40.76853375,6.703139623,2.234784906,0.070339019,116.0681803,53580556.89,3.603743998,121,62,85.92592593,0.003270369,0.001804168,2385,1944,0.013717421,1.226851852,1.226851852,2.453703704,1,C
