,GROWTH,CYCLES,SYMMETRY,ACTIVITY,GLUCOSE,OXYGEN,PRESSURE,RADIUS,WALL,SHEAR,CIRCUM,FLOW,SHORTPATH,GDIAMETER,GRADIUS,ECCENTRICITY,CLOSENESS,BETWEENNESS,EDGES,NODES,CLUSTERING,INDEGREE,OUTDEGREE,DEGREE,COMPONENTS,CONTEXT
0,1.03019943,1172.097345,0.725,0.167785235,0.0004689,0.7871,39.7429598,7.347073651,2.405509336,0.050498553,115.610763,51228996.62,9.136177045,107,56,81.88917197,0.004670455,0.005704418,1928,1570,0.019320594,1.228025478,1.228025478,2.456050955,1,C
1,0.925584046,1127.378049,0.580645161,0.245283019,0.0005574,1.358,38.09805751,7.006306736,2.326735233,0.038819096,109.647544,29791995.03,8.339064327,110,57,85.60669975,0.004393712,0.005066301,1930,1612,0.016335815,1.197270471,1.197270471,2.394540943,1,C
2,0.862450142,1133.147059,0.8,0.261904762,0.0005947,1.693,37.8149398,7.137983041,2.364535896,0.041706716,109.6600774,33282482.13,11.2308594,114,57,82.52469136,0.005678683,0.007552127,1769,1458,0.009602195,1.213305898,1.213305898,2.426611797,1,C
3,0.924216524,1190.91358,0.696,-0.00952381,0.0006286,1.983,39.88263482,6.790871059,2.256195765,0.048715105,113.8274569,37608870.47,7.55318592,103,53,76.42397661,0.0049765,0.004316011,2125,1710,0.016764133,1.242690058,1.242690058,2.485380117,1,C
4,1.161709402,1288.704762,0.646153846,0.1875,0.0006301,1.817,39.92992774,7.524004922,2.45055123,0.053930772,116.4791423,53877777.77,9.852659124,108,54,79.87513751,0.004552538,0.005316909,2235,1818,0.013751375,1.229372937,1.229372937,2.458745875,1,C
5,1.01994302,1205.318966,0.786206897,0.272727273,0.0005295,0.8382,37.95734372,6.929291462,2.286353288,0.044423045,109.0150628,43345599.69,10.17263807,105,53,77.57844311,0.005055389,0.005969852,2038,1670,0.018163673,1.220359281,1.220359281,2.440718563,1,C
6,1.127749288,1221.2,0.635294118,0.009009009,0.0006797,2.446,39.75807466,7.133673208,2.358074232,0.043553292,115.1396284,37534250.38,8.936422345,105,53,79.42559834,0.004522493,0.00455531,2344,1922,0.01127298,1.219562955,1.219562955,2.439125911,1,C
7,1.177207977,1205.936937,0.703030303,-0.029411765,0.0006172,1.564,40.86589235,8.030085903,2.562667952,0.065898996,120.8375336,82199774.49,9.716633541,105,53,76.16363636,0.005170816,0.006412722,1816,1485,0.004264871,1.222895623,1.222895623,2.445791246,1,C
8,1.121367521,1192.333333,0.625641026,0.125748503,0.0005974,1.402,39.57913073,7.223873125,2.363416202,0.052905354,114.4435817,53375328.66,8.201798197,105,53,76.91858597,0.004588108,0.004299027,2333,1867,0.007498661,1.249598286,1.249598286,2.499196572,1,C
9,1.150997151,1201.918699,0.718918919,-0.101265823,0.0005272,1.384,38.74500531,6.562096735,2.206831837,0.029205937,109.8326465,19600499.18,12.38826312,115,58,83.46576712,0.005242275,0.006076599,2450,2001,0.015492254,1.224387806,1.224387806,2.448775612,1,C
10,1.438404558,1286,0.722222222,0.867549669,0.002658,17.66,38.37812378,6.771347313,2.250859121,0.069527419,110.0462044,55094756.53,3.08748464,108,58,82.15886454,0.002885597,0.001496279,2456,2008,0.017928287,1.22310757,1.22310757,2.446215139,1,C
11,1.323076923,1255.702128,0.813043478,0.64,0.0007597,4.134,38.99485098,6.665555927,2.219521368,0.069352742,111.0137116,53313271.04,3.255930751,116,58,87.20295203,0.002971918,0.001461881,2691,2168,0.017835178,1.241236162,1.241236162,2.482472325,1,C
12,1.318290598,1233.673797,0.765217391,0.926829268,0.001965,11.48,38.09547431,6.711035538,2.239324419,0.056708393,108.9339096,42260412.21,4.236886336,107,54,81.75921909,0.003298952,0.001791917,2842,2305,0.018799711,1.2329718,1.2329718,2.465943601,1,C
