,seed,edges,nodes,gradius,gdiameter,indegree,outdegree,degree,eccentricity,shortpath,clustering,closeness,betweenness,components,context,vasculature,activity,growth,cycles,symmetry
0,0,2456,2008,58,108,1.2231075697211156,1.2231075697211156,2.446215139442231,82.15886454183267,3.036859289300198,0.0179282868525896,0.0028392072347331,0.0014717667923779,1,C,Lava,0.8675496688741722,1.4384045584045584,1286.0,0.7222222222222222
1,1,2691,2168,58,116,1.2412361623616237,1.2412361623616237,2.4824723247232474,87.20295202952029,3.175764614129759,0.0178351783517835,0.0029221238728938,0.0014257725296255,1,C,Lava,0.6399999999999999,1.323076923076923,1255.7021276595744,0.8130434782608695
2,2,2842,2305,54,107,1.2329718004338397,1.2329718004338397,2.465943600867679,81.75921908893709,4.219967725656785,0.0187997107736804,0.0032909677609227,0.0017847288874781,1,C,Lava,0.9268292682926828,1.3182905982905984,1233.673796791444,0.7652173913043478
3,3,2249,1856,61,121,1.2117456896551724,1.2117456896551724,2.4234913793103448,85.95959051724138,3.3433105423366483,0.0129310344827586,0.00332760924193,0.0017518830726298,1,C,Lava,0.8500000000000001,1.3360683760683758,1248.515306122449,0.7
4,4,3005,2413,58,111,1.2453377538334025,1.2453377538334025,2.490675507666805,85.67177786987153,3.818638710027704,0.0207210940737671,0.0029915375261545,0.0015429994151399,1,C,Lava,0.6195652173913044,1.374131054131054,1242.1283422459894,0.7956521739130434
5,5,2582,2088,58,111,1.2365900383141764,1.2365900383141764,2.4731800766283527,83.69013409961686,3.663390363993853,0.014367816091954,0.003267338516965,0.0017077368259629,1,C,Lava,0.803030303030303,1.295042735042735,1212.3,0.5781818181818181
6,6,2560,2073,58,112,1.2349252291365171,1.2349252291365171,2.4698504582730343,83.25325615050652,2.6744017120283403,0.014954172696575,0.0030074868862065,0.0012520757778122,1,C,Lava,0.7777777777777777,1.2335042735042734,1195.1863354037266,0.6857142857142857
7,7,2933,2354,62,123,1.245964316057774,1.245964316057774,2.491928632115548,89.39549702633815,4.143041241301168,0.0186915887850467,0.0031563122040659,0.0017170579139945,1,C,Lava,0.8,1.2948148148148149,1262.5060240963855,0.7148936170212765
8,8,2631,2138,55,107,1.2305893358278766,1.2305893358278766,2.461178671655753,82.73807296538821,4.111685817129965,0.0176177112566261,0.0032734531454855,0.001874941026827,1,C,Lava,0.7311827956989247,1.3185185185185184,1230.1309523809523,0.6708333333333334
9,9,2431,1965,57,105,1.2371501272264631,1.2371501272264631,2.4743002544529262,81.4147582697201,3.89283385934091,0.0156064461407972,0.0034160990328656,0.0019286053031121,1,C,Lava,0.8561151079136691,1.2123076923076923,1267.482269503546,0.5692307692307692
10,0,2627,2142,60,111,1.2264239028944912,1.2264239028944912,2.4528478057889824,86.01540616246498,4.988040615592337,0.0177404295051353,0.0035538002210957,0.002272913192859,1,C,Sav,0.5280898876404494,1.353162393162393,1300.1935483870968,0.6518518518518519
11,1,2920,2367,57,110,1.2336290663286862,1.2336290663286862,2.4672581326573724,84.35868187579214,4.556539963237828,0.0147866497676383,0.0033876271643768,0.0018770962348915,1,C,Sav,0.2962962962962963,0.9048433048433048,1235.6593406593406,0.6827586206896552
